query,gt_key1,gt_val1,gt_key2,gt_val2,gt_key3,gt_val3,gt_key4,gt_val4,gt_key5,gt_val5,gt_key6,gt_val6,gt_key7,gt_val7,gt_key8,gt_val8,gt_key9,gt_val9,gt_key10,gt_val10,gt_key11,gt_val11,,qmeans_key1,qmeans_val1,qmeans_key2,qmeans_val2,qmeans_key3,qmeans_val3,qmeans_key4,qmeans_val4,qmeans_key5,qmeans_val5,qmeans_key6,qmeans_val6,qmeans_key7,qmeans_val7,,gemma_key1,gemma_val1,gemma_key2,gemma_val2,gemma_key3,gemma_val3,gemma_key4,gemma_val4,gemma_key5,gemma_val5,gemma_key6,gemma_val6,gemma_key7,gemma_val7,gemma_key8,gemma_val8,gemma_key9,gemma_val9,,qmeans_key_match,gemma_key_match,qmeans_kv_match,gemma_kv_match,qmeans_val_any_match,gemma_val_any_match,total_gold_attrs
105 W Alqer 16 Inch Super Cooler Motor,brand,Alqer,part type,motor,usage,cooler,power,105 W,size,16 Inch,feature,super,,,,,,,,,,,,power,105 w,size,16 inch,brand,alqer,usage,cooler motor,product,cooler motor,,,,,,power,105 W,brand,Alqer,size,16 Inch,part type,motor,usage,Super Cooler,,,,,,,,,,4,5,3,4,3,4,6
FL60STH65-2804AF Hybrid Stepper Motor,part type,motor,driven type,hybrid stepper,model name/number,FL60STH65-2804AF,,,,,,,,,,,,,,,,,,model name/number,fl60sth65-2804af,motor type,stepper motor,product,hybrid stepper motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
à¤Ÿà¥‡à¤•à¥à¤¸à¤®à¥‹ à¤®à¥‹à¤Ÿà¤° à¤¸à¥à¤ªà¥‡à¤¯à¤° à¤ªà¤¾à¤°à¥à¤Ÿà¥à¤¸,brand,Texmo,part type,motor spare parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part type,motor,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,2
Crompton 2hp Gf6834 Single Phase Electric Motor 1440 Rpm,brand,Crompton,part type,motor,horsepower,2hp,model name/number,Gf6834,phase,single,power source,electric,rpm,1440 Rpm,,,,,,,,,,speed,1440 rpm,power,2hp,brand,crompton,power source,electric,model name/number,gf6834,phase,single,product,single phase electric motor,,brand,Crompton,part type,motor,horsepower,2hp,driven type,electric,model name/number,Gf6834,phase,Single Phase,rpm,1440,,,,,,4,6,4,4,6,5,7
Bch Submersible Pump Starters,brand,Bch,part type,pump starter,feature,submersible,,,,,,,,,,,,,,,,,,brand,bch,usage,submersible pump,product,submersible pump starters,,,,,,,,,,part type,starters,brand,Bch,usage,submersible pump,,,,,,,,,,,,,,1,2,1,1,1,1,3
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0,brand,SIEMENS,part type,motor,series,SIMOTICS S-1FK2,driven type,servo,model name/number,1FK2104-6AF10-0SB0,,,,,,,,,,,,,,model name/number,1fk2104-6af10-0sb0,usage,servo motor,brand,siemens,product,servo motor,,,,,,,,part type,servo motor,brand,SIEMENS,model name/number,SIMOTICS S-1FK2 1FK2104-6AF10-0SB0,,,,,,,,,,,,,,2,3,2,1,2,1,5
AC Geared Motor,part type,motor,power source,AC,driven type,geared,,,,,,,,,,,,,,,,,,type,ac,part type,motor,product,ac geared motor,,,,,,,,,,part type,motor,driven type,geared,feature,AC,,,,,,,,,,,,,,1,2,1,2,2,3,3
Crompton 2hp Gf6834 Single Phase Electric Motor,brand,Crompton,part type,motor,horsepower,2hp,model name/number,Gf6834,phase,single,power source,electric,,,,,,,,,,,,power,2hp,brand,crompton,product,single phase electric motor,model name/number,gf6834,no of phase,single phase,,,,,,part type,motor,brand,Crompton,horsepower,2hp,driven type,electric,phase,Single Phase,model name/number,Gf6834,,,,,,,,2,5,2,4,3,5,6
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0SA0 2.7 kW,brand,SIEMENS,part type,motor,series,SIMOTICS S-1FK2,driven type,servo,model name/number,1FK2106-4AF01-0SA0,power,2.7 kW,,,,,,,,,,,,model name/number,1fk2106-4af01-0sa0,power,2.7 kw,usage,servo motor,brand,siemens,product,servo motor,,,,,,part type,servo motor,brand,SIEMENS,model name/number,SIMOTICS S-1FK2,power,2.7 kW,,,,,,,,,,,,3,4,3,2,3,3,6
Ecoflam Burner Servo Motor,brand,Ecoflam,part type,motor,driven type,servo,usage,burner,,,,,,,,,,,,,,,,usage,burner,brand,ecoflam,type,servo motor,product,burner servo motor,,,,,,,,part type,Burner,brand,Ecoflam,driven type,Servo,,,,,,,,,,,,,,2,3,2,2,2,3,4
"Three Phase Motor,Lubi Pumps,Lubi Electrical Motor__I__m__",brand,Lubi,part type,motor,phase,3,power source,electrical,,,,,,,,,,,,,,,,phase,three phase,product,three phase,,,,,,,,,,,,part type,motor,brand,Lubi Pumps,driven type,electrical,phase,Three Phase,,,,,,,,,,,,1,3,0,1,0,2,4
VTV YN90-120 Motor,brand,VTV,part type,motor,model name/number,YN90-120,,,,,,,,,,,,,,,,,,part type,motor,model name/number,yn90-120,product,motor,,,,,,,,,,part type,Motor,model name/number,YN90-120,,,,,,,,,,,,,,,,2,2,2,2,2,2,3
Electric Motors,part type,motor,power source,electric,,,,,,,,,,,,,,,,,,,,power source,electric,product,electric motors,,,,,,,,,,,,part type,motor,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2
induction motor,part type,motor,driven type,induction,,,,,,,,,,,,,,,,,,,,motor type,induction,product,induction motor,,,,,,,,,,,,part type,motor,driven type,induction,,,,,,,,,,,,,,,,0,2,0,2,1,2,2
60W Desert Cooler Motor,part type,motor,usage,desert cooler,power,60W,,,,,,,,,,,,,,,,,,power,60w,usage,cooler,cooler type,desert,part type,motor,product,desert cooler motor,,,,,,part type,motor,power,60W,usage,Desert Cooler,,,,,,,,,,,,,,3,3,2,3,2,3,3
FL42STH47-1684AF-08- Hybrid Stepper Motor,part type,motor,driven type,hybrid stepper,model name/number,FL42STH47-1684AF-08,,,,,,,,,,,,,,,,,,model name/number,fl42sth47-1684af-08-,motor type,stepper motor,product,hybrid stepper motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,3
electronic-starter,part type,starter,feature,electronic,,,,,,,,,,,,,,,,,,,,power source,electronic-starter,product,electronic-starter,,,,,,,,,,,,part type,starter,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,2
FL42STH38-1684AF Hybrid Stepper Motor,part type,motor,driven type,hybrid stepper,model name/number,FL42STH38-1684AF,,,,,,,,,,,,,,,,,,model name/number,fl42sth38-1684af,motor type,stepper motor,product,hybrid stepper motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
Lubi LGH90GF50H15K Gare Motor,brand,Lubi,part type,motor,driven type,geared,model name/number,LGH90GF50H15K,,,,,,,,,,,,,,,,type,gare motor,model name/number,lgh90gf50h15k,brand,lubi,product,motor,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,3,0,4
1FK2104-6AF10-0SB0,model name/number,1FK2104-6AF10-0SB0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model name/number,1FK2104-6AF10-0SB0,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1
Ml 2 Dol Starter,part type,starter,starter type,Dol,model name/number,Ml 2,,,,,,,,,,,,,,,,,,starter type,dol,model name/number,ml 2,product,dol starter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,3
siemens electric ac motor 75 hp 1440 rpm,brand,siemens,part type,motor,power source,ac,horsepower,75 hp,rpm,1440 rpm,,,,,,,,,,,,,,speed,1440 rpm,power,75 hp,power source,electric,brand,siemens,product,electric ac motor,,,,,,brand,siemens,part type,motor,driven type,ac,horsepower,75 hp,rpm,1440,power source,electric,,,,,,,,2,5,1,3,3,4,5
Vishal 8al2 Air Cooler Motor,brand,Vishal,part type,motor,model name/number,8al2,usage,air cooler,,,,,,,,,,,,,,,,model number,8al2,usage,cooler,part type,motor,brand,vishal,product,air cooler motor,,,,,,part type,motor,brand,Vishal,model name/number,8al2,usage,Air Cooler,,,,,,,,,,,,3,4,2,4,3,4,4
ELLDO cooler motor,brand,ELLDO,part type,motor,usage,cooler,,,,,,,,,,,,,,,,,,usage,cooler motor,product,cooler motor,,,,,,,,,,,,part type,motor,brand,ELLDO,usage,cooler,,,,,,,,,,,,,,1,3,0,3,0,3,3
CP - 101 ACTUATOR,part type,actuator,model name/number,CP - 101,,,,,,,,,,,,,,,,,,,,product,actuator,model name/number,cp - 101,,,,,,,,,,,,part type,actuator,model name/number,CP - 101,,,,,,,,,,,,,,,,1,2,1,2,2,2,2
DZ Gear Motor Brushed DC Motor,brand,DZ,part type,motor,driven type,geared brushed,power source,DC,,,,,,,,,,,,,,,,motor type,dc,product,brushed dc motor,,,,,,,,,,,,part type,Gear Motor,brand,DZ,driven type,DC,feature,Brushed,,,,,,,,,,,,0,3,0,1,1,2,4
dual shaft blower fan motor,part type,motor,usage,blower fan,feature,dual shaft,,,,,,,,,,,,,,,,,,shaft type,dual shaft,part type,motor,product,blower fan,,,,,,,,,,part type,fan motor,feature,dual shaft,driven type,blower,,,,,,,,,,,,,,1,2,1,1,3,1,3
220 v dual shaft BLOWER FAN MOTOR,part type,motor,usage,blower fan,voltage,220 v,feature,dual shaft,,,,,,,,,,,,,,,,voltage,220 v,usage,blower fan,shaft type,dual shaft,part type,motor,product,blower fan,,,,,,part type,BLOWER FAN MOTOR,voltage,220 v,feature,dual shaft,,,,,,,,,,,,,,3,3,3,2,4,2,4
220  v 1 dual shaft BLOWER FAN MOTOR,part type,motor,usage,blower fan,voltage,220 v,feature,dual shaft,quantity,1,,,,,,,,,,,,,,voltage,220 v,usage,blower fan,shaft type,dual shaft,part type,motor,product,blower fan,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,4,0,5
"Crompton 2hp Gf6834 Single Phase Electric Motor, 1440 rpm",brand,Crompton,part type,motor,horsepower,2hp,model name/number,Gf6834,phase,single,power source,electric,rpm,1440 rpm,,,,,,,,,,speed,1440 rpm,power,2hp,brand,crompton,power source,electric,model name/number,gf6834,no of phase,single phase,product,single phase,,brand,Crompton,part type,motor,horsepower,2hp,driven type,electric,model name/number,Gf6834,phase,Single Phase,rpm,1440,,,,,,3,6,3,4,5,5,7
"AT12 Single Chain Actuator, 425mm Stroke - Window Automation",part type,actuator,model name/number,AT12,stroke length,425mm,feature,single chain window automation,,,,,,,,,,,,,,,,stroke length,425mm,model name/number,at12,product,single,,,,,,,,,,part type,actuator,model name/number,AT12,stroke length,425mm,driven type,single chain,usage,window automation,,,,,,,,,,2,3,2,3,2,3,4
"SECO N 24 25 Single Chain Actuator, 250/350mm Stroke - Window Automation",part type,actuator,model name/number,SECO N 24 25,stroke length,250/350mm,feature,single chain window automation,,,,,,,,,,,,,,,,brand,seco,product,single,,,,,,,,,,,,part type,actuator,model name/number,N 24,stroke length,250/350mm,feature,single chain,usage,window automation,,,,,,,,,,0,4,0,2,0,2,4
Siemens Raja+ Direct On Line Starters,brand,Siemens,part type,starter,starter type,Direct On Line,series,Raja+,,,,,,,,,,,,,,,,model name/number,raja+,brand,siemens,product,siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,0,4
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0 1 kW,brand,SIEMENS,part type,motor,series,SIMOTICS S-1FK2,driven type,servo,model name/number,1FK2104-6AF10-1MB0,power,1 kW,,,,,,,,,,,,power,1 kw,model name/number,1fk2104-6af10-1mb0,usage,servo motor,brand,siemens,product,servo motor,,,,,,part type,servo motor,brand,SIEMENS,model name/number,SIMOTICS S-1FK2 1FK2104-6AF10-1MB0,power,1 kW,,,,,,,,,,,,3,4,3,2,3,2,6
cg cooler motor,brand,cg,part type,motor,usage,cooler,,,,,,,,,,,,,,,,,,brand,cg,usage,cooler motor,product,cooler motor,,,,,,,,,,part type,motor,usage,cooler,brand,cg,,,,,,,,,,,,,,2,3,1,3,1,3,3
Makita 9047 Armature By PowerSpeed,brand,powerspeed,part type,armature,model name/number,9047,,,,,,,,,,,,,,,,,,model number,9047,type of power tool,armature,brand,powerspeed,product,armature,,,,,,,,brand,Makita,part type,Armature,model name/number,9047,driven type,By PowerSpeed,,,,,,,,,,,,1,3,1,2,3,2,3
Electric Motor Housing,part type,motor housing,power source,electric,,,,,,,,,,,,,,,,,,,,power source,electric,motor part type,housing,product,electric motor,,,,,,,,,,part type,motor housing,power source,electric,,,,,,,,,,,,,,,,1,2,1,2,1,2,2
Vibro Sifter Vibratory Motors,part type,motor,feature,vibratory,usage,vibro sifter,,,,,,,,,,,,,,,,,,product,vibro sifter vibratory motors,,,,,,,,,,,,,,part type,motors,feature,vibratory,model name/number,Vibro Sifter,,,,,,,,,,,,,,0,2,0,1,0,2,3
FL28STH45-0674A - Hybrid Stepper Motor,part type,motor,driven type,hybrid stepper,model name/number,FL28STH45-0674A,,,,,,,,,,,,,,,,,,model name/number,fl28sth45-0674a,motor type,stepper motor,product,hybrid stepper motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
Single Phase D.C. Motor,part type,motor,phase,single,power source,D.C.,,,,,,,,,,,,,,,,,,phase,single phase,product,single phase,,,,,,,,,,,,part type,motor,phase,Single Phase,driven type,D.C.,,,,,,,,,,,,,,1,2,0,1,0,2,3
electric torque,part type,torque,power source,electric,,,,,,,,,,,,,,,,,,,,power source,electric,product,electric,,,,,,,,,,,,driven type,torque,power source,electric,,,,,,,,,,,,,,,,1,1,1,1,1,2,2
Godrej Lawkim Ac Motors,brand,Godrej Lawkim,part type,motor,power source,Ac,,,,,,,,,,,,,,,,,,motor type,ac,brand,godrej,product,godrej lawkim ac motors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,3
dual shaft FAN MOTOR,part type,motor,usage,fan,feature,dual shaft,,,,,,,,,,,,,,,,,,shaft type,dual shaft,usage,fan,product,fan motor,,,,,,,,,,part type,FAN MOTOR,feature,dual shaft,,,,,,,,,,,,,,,,1,2,1,1,2,1,3
Crompton Electric Motor,brand,Crompton,part type,motor,power source,electric,,,,,,,,,,,,,,,,,,brand,crompton,power source,electric,product,crompton electric motor,,,,,,,,,,part type,motor,brand,Crompton,driven type,electric,,,,,,,,,,,,,,2,2,2,2,2,3,3
Mini Fan Motor,part type,motor,usage,fan,size,mini,,,,,,,,,,,,,,,,,,usage,fan,size,mini,product,mini fan motor,,,,,,,,,,part type,fan motor,size,mini,,,,,,,,,,,,,,,,2,2,2,1,2,1,3
3d minuture,,,,,,,,,,,,,,,,,,,,,,,,type,3d,,,,,,,,,,,,,,part type,minuture,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Electric Motor with Gear,part type,motor,power source,electric,feature,with gear,,,,,,,,,,,,,,,,,,power source,electric,product,electric motor,,,,,,,,,,,,part type,motor,driven type,gear,power source,electric,,,,,,,,,,,,,,1,2,1,2,1,2,3
FL28STH45-0674AF-14 - Hybrid Stepper Motor,part type,motor,driven type,hybrid stepper,model name/number,FL28STH45-0674AF-14,,,,,,,,,,,,,,,,,,model name/number,fl28sth45-0674af-14,motor type,stepper motor,product,hybrid stepper motor,,,,,,,,,,part type,stepper motor,model name/number,FL28STH45-0674AF-14,driven type,hybrid,,,,,,,,,,,,,,1,3,1,1,1,1,3
mixer-grinder-motor,part type,motor,usage,mixer grinder,,,,,,,,,,,,,,,,,,,,product,mixer-grinder-motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Sew-eurodrive servo Motor cmp50m/pk/vr/rh1m/sm1,brand,Sew-eurodrive,part type,motor,driven type,servo,model name/number,cmp50m/pk/vr/rh1m/sm1,,,,,,,,,,,,,,,,model name/number,cmp50m/pk/vr/rh1m/sm1,usage,servo motor,brand,sew-eurodrive,product,servo motor,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,4
"Sew-eurodrive ,servo Motor ,cmp50m/pk/vr/rh1m/sm1",brand,Sew-eurodrive,part type,motor,driven type,servo,model name/number,cmp50m/pk/vr/rh1m/sm1,,,,,,,,,,,,,,,,brand,sew-eurodrive,product,motor,,,,,,,,,,,,brand,Sew-eurodrive,part type,servo Motor,model name/number,cmp50m/pk/vr/rh1m/sm1,,,,,,,,,,,,,,1,3,1,2,2,2,4
vane pneumatic actuator,part type,actuator,power source,pneumatic,driven type,vane,,,,,,,,,,,,,,,,,,actuator type,pneumatic actuator,product,pneumatic actuator,,,,,,,,,,,,part type,actuator,feature,vane,,,,,,,,,,,,,,,,0,1,0,1,0,2,3
Flange Mounted Motor,part type,motor,mounting type,flange mounted,,,,,,,,,,,,,,,,,,,,mounting type,flange,product,flange mounted motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,2
FL57STH56-2504ACF-25 - Hybrid Stepper Motor,part type,motor,driven type,hybrid stepper,model name/number,FL57STH56-2504ACF-25,,,,,,,,,,,,,,,,,,model name/number,fl57sth56-2504acf-25,motor type,stepper motor,product,hybrid stepper motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,3
FL57STH56-2804AF-01- Hybrid Stepper Motor,part type,motor,driven type,hybrid stepper,model name/number,FL57STH56-2804AF-01,,,,,,,,,,,,,,,,,,model name/number,fl57sth56-2804af-01-,motor type,stepper motor,product,hybrid stepper motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,3
MU2 Dol Motor Starter,part type,motor starter,starter type,Dol,model name/number,MU2,,,,,,,,,,,,,,,,,,starter type,dol,usage,motor starter,model name/number,mu2,product,dol motor starter,,,,,,,,part type,Motor Starter,model name/number,MU2,driven type,Dol,,,,,,,,,,,,,,2,2,2,2,3,3,3
power tool cm4,part type,power tool,model name/number,cm4,,,,,,,,,,,,,,,,,,,,model,cm4,product,power tool,,,,,,,,,,,,part type,power tool,model name/number,cm4,,,,,,,,,,,,,,,,0,2,0,2,2,2,2
power tool near delhi cm4,part type,power tool,model name/number,cm4,location/city,delhi,,,,,,,,,,,,,,,,,,product,power tool,,,,,,,,,,,,,,part type,power tool,location/city,delhi,model name/number,cm4,,,,,,,,,,,,,,0,3,0,3,1,3,3
crompton-motors,brand,crompton,part type,motor,,,,,,,,,,,,,,,,,,,,product,crompton-motors,,,,,,,,,,,,,,brand,crompton,part type,motors,,,,,,,,,,,,,,,,0,2,0,1,0,1,2
Voltas AC Outdoor Fan Motor,brand,Voltas,part type,motor,power source,AC,usage,outdoor fan,,,,,,,,,,,,,,,,motor type,ac,part type,motor,usage,outdoor,brand,voltas,product,ac outdoor fan motor,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,3,0,4
Makita MT-950 Armature By PowerSpeed,brand,powerspeed,part type,armature,model name/number,MT-950,,,,,,,,,,,,,,,,,,type of power tool,armature,model number,mt-950,brand,powerspeed,product,armature,,,,,,,,part type,Armature,brand,Makita,model name/number,MT-950,driven type,By PowerSpeed,,,,,,,,,,,,1,3,1,2,3,2,3
1500 cfm FAN MOTOR,part type,motor,usage,fan,air flow capacity,1500 cfm,,,,,,,,,,,,,,,,,,power,1500 cfm,usage,fan,product,fan motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,0,3
230v apex cool 410w exhaust fan motor,brand,apex cool,part type,motor,usage,exhaust fan,voltage,230v,power,410w,,,,,,,,,,,,,,voltage,230v,power,410w,brand,apex,usage,exhaust fan,product,exhaust fan motor,,,,,,power,410w,voltage,230v,part type,exhaust fan motor,brand,apex,,,,,,,,,,,,4,4,3,2,3,2,5
FL57STH76-2504ACF-ARK Hybrid Stepper Motor,part type,motor,driven type,hybrid stepper,model name/number,FL57STH76-2504ACF-ARK,,,,,,,,,,,,,,,,,,model name/number,fl57sth76-2504acf-ark,motor type,stepper motor,product,hybrid stepper motor,,,,,,,,,,part type,motor,brand,FL57STH76-2504ACF-ARK,driven type,hybrid stepper,,,,,,,,,,,,,,1,2,1,2,1,3,3
Clogging Test,,,,,,,,,,,,,,,,,,,,,,,,testing type,clogging,product,clogging,,,,,,,,,,,,usage,Clogging Test,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0,brand,SIEMENS,part type,motor,series,SIMOTICS S-1FK2,driven type,servo,model name/number,1FK2104-6AF10-1MB0,,,,,,,,,,,,,,model name/number,1fk2104-6af10-1mb0,usage,servo motor,brand,siemens,product,servo motor,,,,,,,,part type,servo motor,brand,SIEMENS,model name/number,SIMOTICS S-1FK2 1FK2104-6AF10-1MB0,,,,,,,,,,,,,,2,3,2,1,2,1,5
crompton motor 1 hp,brand,crompton,part type,motor,horsepower,1 hp,,,,,,,,,,,,,,,,,,power,1 hp,brand,crompton,part type,motor,product,motor 1 hp,,,,,,,,brand,crompton,part type,motor,horsepower,1 hp,,,,,,,,,,,,,,2,3,2,3,3,3,3
crompton motor near tinsukia 1 hp,brand,crompton,part type,motor,horsepower,1 hp,location/city,tinsukia,,,,,,,,,,,,,,,,power,1 hp,brand,crompton,product,crompton motor,,,,,,,,,,brand,crompton,part type,motor,horsepower,1 hp,location/city,tinsukia,,,,,,,,,,,,1,4,1,4,2,4,4
motorized pulley drum motor,part type,motor,feature,motorized pulley drum,,,,,,,,,,,,,,,,,,,,motor type,drum motor,product,motorized pulley,,,,,,,,,,,,part type,drum motor,driven type,pulley,feature,motorized,,,,,,,,,,,,,,0,2,0,0,0,0,2
crompton motor,brand,crompton,part type,motor,,,,,,,,,,,,,,,,,,,,brand,crompton,part type,motor,product,crompton motor,,,,,,,,,,brand,crompton,part type,motor,,,,,,,,,,,,,,,,2,2,2,2,2,2,2
Belimo Damper Fire Actuator,brand,Belimo,part type,actuator,usage,damper fire,,,,,,,,,,,,,,,,,,brand,belimo,structure,damper,product,actuator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,0,3
e42 90w 2850/3450rpm motor single phase,part type,motor,model name/number,e42,power,90w,rpm,2850/3450rpm,phase,single,,,,,,,,,,,,,,speed,2850/3450rpm,power,90w,model name/number,e42,phase,single phase,product,single phase,,,,,,power,90w,rpm,2850/3450rpm,phase,single phase,model name/number,e42,,,,,,,,,,,,3,4,2,3,3,3,5
Slip Ring Assemblies,part type,slip ring assemblies,,,,,,,,,,,,,,,,,,,,,,motor part type,slip ring,product,slip ring assemblies,,,,,,,,,,,,part type,Slip Ring Assemblies,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1
Siemens DOL Starter,brand,Siemens,part type,starter,starter type,DOL,,,,,,,,,,,,,,,,,,starter type,dol,brand,siemens,product,siemens dol starter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,3
pmdc gear motor 0-25-hp 25-200rpm 12-180volt,part type,motor,driven type,pmdc geared,horsepower,0-25-hp,rpm,25-200rpm,voltage,12-180volt,,,,,,,,,,,,,,power,0-25-hp,voltage,12-180volt,speed,25-200rpm,motor type,pmdc gear motor,product,pmdc gear motor,,,,,,part type,motor,driven type,pmdc gear,horsepower,0-25-hp,rpm,25-200rpm,voltage,12-180volt,,,,,,,,,,1,5,1,4,3,4,5
Vertical Motors,part type,motor,orientation,vertical,,,,,,,,,,,,,,,,,,,,orientation,vertical,product,vertical motors,,,,,,,,,,,,part type,motor,orientation,Vertical,,,,,,,,,,,,,,,,1,2,1,2,1,2,2
PowerSpeed Armature For Makita 9500 NB,brand,Makita,part type,armature,model name/number,9500 NB,,,,,,,,,,,,,,,,,,type of power tool,armature,brand,powerspeed,product,armature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,3
side shaft gear motor,part type,motor,driven type,geared,feature,side shaft,,,,,,,,,,,,,,,,,,motor type,gear motor,product,gear motor,,,,,,,,,,,,part type,motor,driven type,gear,feature,side shaft,,,,,,,,,,,,,,0,3,0,2,0,2,3
FEBRICATION BLOWER 1HP SINGLE PHASE,part type,blower,horsepower,1HP,phase,single,usage,fabrication,,,,,,,,,,,,,,,,power,1hp,blower type,febrication blower,phase,single phase,product,1hp single phase,,,,,,,,horsepower,1HP,phase,single phase,part type,fabrication blower,,,,,,,,,,,,,,1,3,0,1,1,1,4
a40k/m566w/g7.2 (60 square pl gear),model name/number,a40k/m566w/g7.2,part type,gear,size,60 square pl,,,,,,,,,,,,,,,,,,model/type,a40k/m566w/g7.2,shape,square,product,square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,3
1400 rpm single phase 230 v flange mounted 230v apex cool 410w exhaust fan motor,brand,apex cool,part type,motor,rpm,1400 rpm,phase,single,voltage,230 v,mounting type,flange mounted,power,410w,usage,exhaust fan,,,,,,,,speed,1400 rpm,voltage,230 v,power,410w,usage,exhaust fan,mounting type,flange,phase,single phase,product,exhaust fan motor,,part type,motor,brand,apex cool,driven type,exhaust fan,rpm,1400,voltage,230v,phase,single phase,power,410w,mounting type,flange mounted,,,,5,7,3,4,4,5,8
crompton 10 hp motor,brand,crompton,part type,motor,horsepower,10 hp,,,,,,,,,,,,,,,,,,power,10 hp,brand,crompton,part type,motor,product,10 hp motor,,,,,,,,brand,crompton,part type,motor,horsepower,10 hp,,,,,,,,,,,,,,2,3,2,3,3,3,3
foot mounting 1 piece 1440 rpm Single Phase Motors,part type,motor,mounting type,foot mounting,rpm,1440 rpm,phase,single,quantity,1,,,,,,,,,,,,,,set contains,1 piece,speed,1440 rpm,mounting type,foot,phase,single phase,product,single phase motors,,,,,,part type,motors,driven type,single phase,rpm,1440,mounting type,foot mounting,quantity,1 piece,,,,,,,,,,2,4,0,1,1,1,5
ABB Servo Motors,brand,ABB,part type,motor,driven type,servo,,,,,,,,,,,,,,,,,,brand,abb,product,abb servo motors,,,,,,,,,,,,part type,servo motors,brand,ABB,,,,,,,,,,,,,,,,1,2,1,1,1,1,3
20 HP Three Phase Electric Motor,part type,motor,horsepower,20 HP,phase,3,power source,electric,,,,,,,,,,,,,,,,power,20 hp,product,three phase electric motor,no of phase,three phase,,,,,,,,,,part type,motor,brand,,driven type,electric,model name/number,,feature,,usage,,power source,electric,phase,three phase,horsepower,20 HP,,0,4,0,3,1,3,4
1FK2104-6AF10-1MB0,model name/number,1FK2104-6AF10-1MB0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model name/number,1FK2104-6AF10-1MB0,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0MA0 2.7 kW,brand,SIEMENS,part type,motor,series,SIMOTICS S-1FK2,driven type,servo,model name/number,1FK2106-4AF01-0MA0,power,2.7 kW,,,,,,,,,,,,model name/number,1fk2106-4af01-0ma0,power,2.7 kw,usage,servo motor,brand,siemens,product,servo motor,,,,,,part type,servo motor,brand,SIEMENS,model name/number,SIMOTICS S-1FK2 1FK2106-4AF01-0MA0,power,2.7 kW,,,,,,,,,,,,3,4,3,2,3,2,6
mil 37 38 diaphragm actuators,part type,actuator,model name/number,mil 37 38,driven type,diaphragm,,,,,,,,,,,,,,,,,,actuator type,diaphragm,model name/number,mil 37 38,product,actuators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,0,3
Petrosa starter mini 1 KG,brand,Petrosa,part type,starter,size,mini,weight,1 KG,,,,,,,,,,,,,,,,packaging size,1 kg,product,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4
