Query,Key Match Count,Value Match Count,Gemma Unique Keys,QMeans Unique Keys,Gemma Unique Values,QMeans Unique Values,Key Match %,Value Match %,Gemma: Value - Keys,QMeans: Value - Keys,Matched Keys,Matched Values,Gemma Only Keys,QMeans Only Keys
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0SA0 2.7 kW,0,0,0,4,0,4,N/A,N/A,,1fk2106-4af01-0sa0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,,,,brand | model name/number | power | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-1MA0  2.7 kW,2,3,12,4,4,4,16.7%,75.0%,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2106-4AF01-1MA0 - model_name | model_no | model | model_number |||| 2.7 kW - power_source | power_supply | power_type | power,1fk2106-4af01-1ma0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2106-4af01-1ma0 | 2.7 kw | siemens,company | make | manufacturer | model | model name | model no | model number | power source | power supply | power type,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,0,0,0,4,0,4,N/A,N/A,,1fk2106-4af10-0ma0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,,,,brand | model name/number | power | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0 2.7 kW,0,0,0,4,0,4,N/A,N/A,,1fk2106-4af10-1ma0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,,,,brand | model name/number | power | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,2,3,12,4,4,4,16.7%,75.0%,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2204-5AK01-0MB0 - model_name | model_no | model_name | model_number |||| 0.12 kW - power_source | power_supply | power_type | power,0.12 kw - power |||| 1fk2204-5ak01-0mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.12 kw | 1fk2204-5ak01-0mb0 | siemens,company | make | manufacturer | model | model name | model no | model number | power source | power supply | power type,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0SB0 0.57 kW,2,3,12,4,4,4,16.7%,75.0%,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2204-5AK01-0SB0 - model_name | model_no | model_name | model_number |||| 0.57 kW - power_source | power_supply | power_type | power,0.57 kw - power |||| 1fk2204-5ak01-0sb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.57 kw | 1fk2204-5ak01-0sb0 | siemens,company | make | manufacturer | model | model name | model no | model number | power source | power supply | power type,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1MB0 0.12 kW,2,3,12,4,4,4,16.7%,75.0%,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2204-5AK01-1MB0 - model_name | model_no | model_name | model_number |||| 0.12 kW - power_source | power_supply | power_type | power,0.12 kw - power |||| 1fk2204-5ak01-1mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.12 kw | 1fk2204-5ak01-1mb0 | siemens,company | make | manufacturer | model | model name | model no | model number | power source | power supply | power type,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1SB0 0.57 kW,0,0,0,4,0,4,N/A,N/A,,0.57 kw - power |||| 1fk2204-5ak01-1sb0 - model name/number |||| servo motor - usage |||| siemens - brand,,,,brand | model name/number | power | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK10-0MB0 0.57 kW,2,3,12,4,4,4,16.7%,75.0%,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2204-5AK10-0MB0 - model_name | model_no | model_name | model_number |||| 0.57 kW - power_source | power_supply | power_type | power,0.57 kw - power |||| 1fk2204-5ak10-0mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.57 kw | 1fk2204-5ak10-0mb0 | siemens,company | make | manufacturer | model | model name | model no | model number | power source | power supply | power type,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK10-0SB0 0.12 kW,0,0,0,4,0,4,N/A,N/A,,0.12 kw - power |||| 1fk2204-5ak10-0sb0 - model name/number |||| servo motor - usage |||| siemens - brand,,,,brand | model name/number | power | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AB01-1SB0 4.5 kW,2,3,12,4,4,4,16.7%,75.0%,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2210-3AB01-1SB0 - model_name | model_no | model_name | model_number |||| 4.5 kW - power_source | power_supply | power_type | power,1fk2210-3ab01-1sb0 - model name/number |||| 4.5 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2210-3ab01-1sb0 | 4.5 kw | siemens,company | make | manufacturer | model | model name | model no | model number | power source | power supply | power type,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AC01-0MB0 5.5 kW,2,3,12,4,4,4,16.7%,75.0%,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2210-3AC01-0MB0 - model_name | model_no | model_name | model_number |||| 5.5 kW - power_source | power_supply | power_type | power,1fk2210-3ac01-0mb0 - model name/number |||| 5.5 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2210-3ac01-0mb0 | 5.5 kw | siemens,company | make | manufacturer | model | model name | model no | model number | power source | power supply | power type,model name/number | usage
SIEMENS SINAMICS S200 Servo Motor 1FL2306-4AC01-0HB0 0.1 kW,0,0,0,4,0,4,N/A,N/A,,0.1 kw - power |||| 1fl2306-4ac01-0hb0 - model name/number |||| servo motor - usage |||| siemens - brand,,,,brand | model name/number | power | usage
SIMOTICS 1FK7 1FK7043-4CH7 MOTER 1.2kW,0,2,14,2,4,2,0.0%,50.0%,SIMOTICS - brand | company | manufacturer | make |||| 1FK7 1FK7043-4CH7 - model_number | model_name | model | model_no |||| MOTER - power_source | power_supply | power_type |||| 1.2kW - power | wattage | power_rating,1.2kw - output power |||| 1fk7 1fk7043-4ch7 - model name/number,,1.2kw | 1fk7 1fk7043-4ch7,brand | company | make | manufacturer | model | model name | model no | model number | power | power rating | power source | power supply | power type | wattage,model name/number | output power
SIMOTICS S Synchronous motor 1FK7 1FK7103-2AC71-1RH1,1,1,12,2,3,2,8.3%,33.3%,SIMOTICS - brand | model_number | type | company | model_name | motor_type | manufacturer | model | product_type | make | model_no | device_type,1fk7 1fk7103-2ac71-1rh1 - model name/number |||| synchronous - motor type,motor type,1fk7 1fk7103-2ac71-1rh1,brand | company | device type | make | manufacturer | model | model name | model no | model number | product type | type,model name/number
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1QB1,0,0,0,2,0,2,N/A,N/A,,1fk7 1fk7081-3bf71-1qb1 - model name/number |||| synchronous - motor type,,,,model name/number | motor type
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1RB1,0,0,8,2,2,2,0.0%,0.0%,SIMOTICS - brand | company | manufacturer | make |||| Synchronous Motor 1FK7 1FK7081-3BF71-1RB1 - model_number | model_name | model | model_no,1fk7 1fk7081-3bf71-1rb1 - model name/number |||| synchronous - motor type,,,brand | company | make | manufacturer | model | model name | model no | model number,model name/number | motor type
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1RH1,1,1,12,2,3,2,8.3%,33.3%,SIMOTICS - brand | company | manufacturer | make |||| 1FK7 1FK7081-3BF71-1RH1 - model_number | model_name | model | model_no |||| Synchronous Motor - type | motor_type | product_type | device_type,1fk7 1fk7081-3bf71-1rh1 - model name/number |||| synchronous - motor type,motor type,1fk7 1fk7081-3bf71-1rh1,brand | company | device type | make | manufacturer | model | model name | model no | model number | product type | type,model name/number
SIMOTICS S synchronous motor 1FK7- 1FK7103-3BC71-1QA1,0,1,8,2,3,2,0.0%,33.3%,SIMOTICS - brand | company | manufacturer | make |||| 1FK7- 1FK7103-3BC71-1QA1 - model_number | model_name | model | model_no |||| Synchronous Motor - model_name | model_no | model | model_name,1fk7- 1fk7103-3bc71-1qa1 - model name/number |||| synchronous - motor type,,1fk7- 1fk7103-3bc71-1qa1,brand | company | make | manufacturer | model | model name | model no | model number,model name/number | motor type
SMC Electric Actuator,1,2,8,2,2,2,12.5%,100.0%,SMC - brand | company | manufacturer | make |||| Electric Actuator - type | motor_type | product_type | device_type,electric actuator - actuator type |||| smc - brand,brand,electric actuator | smc,company | device type | make | manufacturer | motor type | product type | type,actuator type
STP-43D2035 Stepper Motor,0,1,4,2,1,2,0.0%,100.0%,STP-43D2035 - model_number | model_name | model | model_no,stepper motor - motor type |||| stp-43d2035 - model name/number,,stp-43d2035,model | model name | model no | model number,model name/number | motor type
Schneider Ats48 Soft Starter Repairs,1,2,12,2,3,2,8.3%,66.7%,Schneider - brand | company | manufacturer | make |||| Ats48 - model_number | model_name | model | model_no |||| Repairs - usage_application | application | usage | suitable_for,ats48 - model name/number |||| schneider - brand,brand,ats48 | schneider,application | company | make | manufacturer | model | model name | model no | model number | suitable for | usage | usage application,model name/number
Schneider Electric BSH0703P11A2A Servo Motor,0,1,8,2,2,2,0.0%,50.0%,Schneider Electric - brand | company | manufacturer | make |||| BSH0703P11A2A - model_number | model_name | model | model_no,bsh0703p11a2a - model name/number |||| servo motor - usage,,bsh0703p11a2a,brand | company | make | manufacturer | model | model name | model no | model number,model name/number | usage
Servo Motor,0,0,4,0,1,0,0.0%,0.0%,Servo Motor - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
Servo Motor & Variac Motor,0,0,4,0,1,0,0.0%,0.0%,Servo Motor & Variac Motor - type | motor_type | product_type | device_type,,,,device type | motor type | product type | type,
Servo Motor Repairing Service,0,2,8,2,2,2,0.0%,100.0%,Servo Motor - type | motor_type | product_type | device_type |||| Repairing - usage_application | application | usage | suitable_for,repairing - service |||| servo motor - we repair,,repairing | servo motor,application | device type | motor type | product type | suitable for | type | usage | usage application,service | we repair
Sew Brake Motor,2,1,8,2,2,2,25.0%,50.0%,Sew - brand | company | manufacturer | make |||| Brake Motor - type | motor_type | product_type | device_type,brake - motor type |||| sew - brand,brand | motor type,sew,company | device type | make | manufacturer | product type | type,
Sew Eurodrive CMP50M AC Synchronous Motor,2,2,12,3,3,3,16.7%,66.7%,Sew Eurodrive - brand | company | manufacturer | make |||| CMP50M - model_number | model_name | model | model_no |||| AC Synchronous Motor - type | motor_type | product_type | device_type,ac synchronous - motor type |||| cmp50m - model name/number |||| sew eurodrive - brand,brand | motor type,cmp50m | sew eurodrive,company | device type | make | manufacturer | model | model name | model no | model number | product type | type,model name/number
Sew-eurodrive servo Motor cmp50m/pk/vr/rh1m/sm1,1,2,8,3,2,3,12.5%,100.0%,Sew-Eurodrive - brand | company | manufacturer | make |||| CMP50M/PK/VR/RH1M/SM1 - model_number | model_name | model | model_no,cmp50m/pk/vr/rh1m/sm1 - model name/number |||| servo motor - usage |||| sew-eurodrive - brand,brand,cmp50m/pk/vr/rh1m/sm1 | sew-eurodrive,company | make | manufacturer | model | model name | model no | model number,model name/number | usage
Shade Pole Rexnord c Frame Motor Rec-6110-A2,2,3,16,3,4,3,12.5%,75.0%,Rexnord - brand | company | manufacturer | make |||| Rec-6110-A2 - model_number | model_name | model | model_no |||| Shade Pole - type | motor_type | product_type | device_type |||| C Frame - enclosure | body_enclosure | housing_protection | casing_type,c frame - motor type |||| rec-6110-a2 - model name/number |||| rexnord - brand,brand | motor type,c frame | rec-6110-a2 | rexnord,body enclosure | casing type | company | device type | enclosure | housing protection | make | manufacturer | model | model name | model no | model number | product type | type,model name/number
Shaded Pole Motors,0,0,4,0,1,0,0.0%,0.0%,Shaded Pole Motors - type | motor_type | product_type | device_type,,,,device type | motor type | product type | type,
Shaft Encoder,0,0,7,1,1,1,0.0%,0.0%,Shaft Encoder - number_of_poles | no_of_poles | poles |||| Shaft Encoder - type | motor_type | product_type | device_type,encoder - product,,,device type | motor type | no of poles | number of poles | poles | product type | type,product
Shakti Dol Starter,2,1,11,2,3,2,18.2%,33.3%,Shakti - brand | company | manufacturer | make |||| Dol Starter - starter_type | starter | starting_method |||| Industrial - usage_application | application | usage | suitable_for,dol - starter type |||| shakti - brand,brand | starter type,shakti,application | company | make | manufacturer | starter | starting method | suitable for | usage | usage application,
Siemens 1440RPM Three Phase Flange Motor,3,4,13,4,4,4,23.1%,100.0%,Siemens - brand | company | manufacturer | make |||| 1440RPM - speed | rpm | motor_speed |||| Three Phase - number_of_poles | no_of_poles | poles |||| Flange - mounting_type | mounting | mounting_style,1440rpm - speed |||| flange - mounting type |||| siemens - brand |||| three phase - phase,brand | mounting type | speed,1440rpm | flange | siemens | three phase,company | make | manufacturer | motor speed | mounting | mounting style | no of poles | number of poles | poles | rpm,phase
Siemens 3TW72911AW64,1,2,8,2,2,2,12.5%,100.0%,Siemens - brand | company | manufacturer | make |||| 3TW72911AW64 - model_number | model_name | model | model_no,3tw72911aw64 - model name/number |||| siemens - brand,brand,3tw72911aw64 | siemens,company | make | manufacturer | model | model name | model no | model number,model name/number
Siemens 3TW72911AW66,1,2,8,2,2,2,12.5%,100.0%,Siemens - brand | company | manufacturer | make |||| 3TW72911AW66 - model_number | model_name | model | model_no,3tw72911aw66 - model name/number |||| siemens - brand,brand,3tw72911aw66 | siemens,company | make | manufacturer | model | model name | model no | model number,model name/number
Siemens 3TW72911AW68,1,2,8,2,2,2,12.5%,100.0%,Siemens - brand | company | manufacturer | make |||| 3TW72911AW68 - model_number | model_name | model | model_no,3tw72911aw68 - model name/number |||| siemens - brand,brand,3tw72911aw68 | siemens,company | make | manufacturer | model | model name | model no | model number,model name/number
Siemens 3TW72911AW69,1,2,8,2,2,2,12.5%,100.0%,Siemens - brand | company | manufacturer | make |||| 3TW72911AW69 - model_number | model_name | model | model_no,3tw72911aw69 - model name/number |||| siemens - brand,brand,3tw72911aw69 | siemens,company | make | manufacturer | model | model name | model no | model number,model name/number
Siemens 3TW72911AW71,1,2,8,2,2,2,12.5%,100.0%,Siemens - brand | company | manufacturer | make |||| 3TW72911AW71 - model_number | model_name | model | model_no,3tw72911aw71 - model name/number |||| siemens - brand,brand,3tw72911aw71 | siemens,company | make | manufacturer | model | model name | model no | model number,model name/number
Siemens 3TW72911AW72,1,2,8,2,2,2,12.5%,100.0%,Siemens - brand | company | manufacturer | make |||| 3TW72911AW72 - model_number | model_name | model | model_no,3tw72911aw72 - model name/number |||| siemens - brand,brand,3tw72911aw72 | siemens,company | make | manufacturer | model | model name | model no | model number,model name/number
Siemens 3TW72911AW74,1,2,8,2,2,2,12.5%,100.0%,Siemens - brand | company | manufacturer | make |||| 3TW72911AW74 - model_number | model_name | model | model_no,3tw72911aw74 - model name/number |||| siemens - brand,brand,3tw72911aw74 | siemens,company | make | manufacturer | model | model name | model no | model number,model name/number
Siemens 3TW72911AW78,1,2,8,2,2,2,12.5%,100.0%,Siemens - brand | company | manufacturer | make |||| 3TW72911AW78 - model_number | model_name | model | model_no,3tw72911aw78 - model name/number |||| siemens - brand,brand,3tw72911aw78 | siemens,company | make | manufacturer | model | model name | model no | model number,model name/number
Siemens 7.5 KW 2 HP Electric Motor,3,4,13,4,4,4,23.1%,100.0%,Siemens - brand | company | manufacturer | make |||| Electric - power_source | power_supply | power_type |||| 2 HP - horsepower | horse_power | hp |||| 7.5 KW - wattage | power_rating | power,2 hp - horsepower |||| 7.5 kw - power |||| electric - product |||| siemens - brand,brand | horsepower | power,2 hp | 7.5 kw | electric | siemens,company | horse power | hp | make | manufacturer | power rating | power source | power supply | power type | wattage,product
Siemens 75 HP Foot Mounted Electric Motors,3,3,13,4,4,4,23.1%,75.0%,Siemens - brand | company | manufacturer | make |||| Electric - power_source | power_supply | power_type |||| 75 HP - power | wattage | motor_power |||| Foot Mounted - size | dimension | frame_size,75 hp - power |||| electric - power source |||| foot - mounting type |||| siemens - brand,brand | power | power source,75 hp | electric | siemens,company | dimension | frame size | make | manufacturer | motor power | power supply | power type | size | wattage,mounting type
Siemens DOL Starter,2,1,7,2,2,2,28.6%,50.0%,Siemens - brand | company | manufacturer | make |||| DOL Starter - starter_type | starting_method | starter,dol - starter type |||| siemens - brand,brand | starter type,siemens,company | make | manufacturer | starter | starting method,
Siemens Electric Motor,1,1,5,2,2,2,20.0%,50.0%,Siemens - brand | company | manufacturer | make |||| Electric Motor - type,electric - power source |||| siemens - brand,brand,siemens,company | make | manufacturer | type,power source
Siemens Electric Motors 40 Hp,2,2,8,3,2,3,25.0%,100.0%,40 Hp - horsepower | horse_power | hp | motor_horsepower |||| Siemens - brand | company | manufacturer | make,40 hp - motor horsepower |||| electric - power source |||| siemens - brand,brand | motor horsepower,40 hp | siemens,company | horse power | horsepower | hp | make | manufacturer,power source
Siemens Electric Three Phase Motor,2,2,7,3,2,3,28.6%,100.0%,Siemens - brand | company | manufacturer | make |||| Three Phase - number_of_phase | phase | number_of_phase | input_phase,electric - power source |||| siemens - brand |||| three phase - phase,brand | phase,siemens | three phase,company | input phase | make | manufacturer | number of phase,power source
Siemens Face Mounted Induction Motor,2,2,8,3,2,3,25.0%,100.0%,Siemens - brand | company | manufacturer | make |||| Face Mounted - mounting_type | mounting | mounting_style | mounting_method,face mounted - mounting type |||| induction motor - motor type |||| siemens - brand,brand | mounting type,face mounted | siemens,company | make | manufacturer | mounting | mounting method | mounting style,motor type
Siemens Make Electric Motor,1,1,8,2,2,2,12.5%,50.0%,Siemens - brand | company | manufacturer | make |||| Electric Motor - usage_application | application | usage | suitable_for,electric - power source |||| siemens - brand,brand,siemens,application | company | make | manufacturer | suitable for | usage | usage application,power source
Siemens Raja+ Direct On Line Starters,1,2,10,2,3,2,10.0%,66.7%,Siemens - brand | company | manufacturer | make |||| Direct On Line Starters - starter_type | starting_method | starter |||| Raja+ - insulation_class | insulation_type | winding_insulation,raja+ - model name/number |||| siemens - brand,brand,raja+ | siemens,company | insulation class | insulation type | make | manufacturer | starter | starter type | starting method | winding insulation,model name/number
Siemens Servo Motors,1,1,5,1,2,1,20.0%,50.0%,Siemens - brand | company | manufacturer | make |||| Servo Motors - type,siemens - brand,brand,siemens,company | make | manufacturer | type,
Siemens Sipart Ps2 Positioner Model 6dr5,1,2,8,2,3,2,12.5%,66.7%,Siemens - brand | company | manufacturer | make |||| 6DR5 - model_number | model_name | model | model_no |||| Sipart PS2 - model_no | model_name | model,6dr5 - model name/number |||| siemens - brand,brand,6dr5 | siemens,company | make | manufacturer | model | model name | model no | model number,model name/number
Siemens Three Phase Electric Motor,1,2,8,2,2,2,12.5%,100.0%,Siemens - brand | company | manufacturer | make |||| Three Phase - phase | phase_type | number_of_phase | input_phase,siemens - brand |||| three phase - no of phase,brand,siemens | three phase,company | input phase | make | manufacturer | number of phase | phase | phase type,no of phase
Simensh Hp400 Rpm1440,0,1,10,1,3,1,0.0%,33.3%,Simensh - brand | company | manufacturer | make |||| HP400 - horse_power | horse_power_rating | horse_power_capacity |||| 1440 - rpm | speed | motor_speed,hp400 - model name/number,,hp400,brand | company | horse power | horse power capacity | horse power rating | make | manufacturer | motor speed | rpm | speed,model name/number
Single Phase AC Synchronous Motor,1,1,8,2,2,2,12.5%,50.0%,Single Phase - phase | phase_type | number_of_phase | input_phase |||| AC Synchronous Motor - type | motor_type | product_type | device_type,ac - motor type |||| single phase - no of phase,motor type,single phase,device type | input phase | number of phase | phase | phase type | product type | type,no of phase
Single Phase Copper Slip Ring,2,2,8,3,2,3,25.0%,100.0%,Single Phase - phase | phase_type | number_of_phase | input_phase |||| Copper - material | body_material | material_type | casing_material,copper - material |||| single phase - phase |||| slip ring - motor part type,material | phase,copper | single phase,body material | casing material | input phase | material type | number of phase | phase type,motor part type
Single Phase D.C. Motor,1,1,8,1,2,1,12.5%,50.0%,Single Phase - phase | phase_type | number_of_phase | input_phase |||| D.C. - power_source | power_supply | power_type | power_rating,single phase - phase,phase,single phase,input phase | number of phase | phase type | power rating | power source | power supply | power type,
Single Phase Digital Motor Starter,1,1,8,3,2,3,12.5%,50.0%,Single Phase - phase | phase_type | number_of_phase | input_phase |||| Digital Motor Starter - starter_type | starting_method | starter | device_type,digital - display type |||| motor starter - usage |||| single phase - phase,phase,single phase,device type | input phase | number of phase | phase type | starter | starter type | starting method,display type | usage
Single Phase Electric Motor,1,2,8,2,2,2,12.5%,100.0%,Single Phase - phase | phase_type | number_of_phase | input_phase |||| Electric - power_source | power_supply | power_type | power_supply_type,electric - power source |||| single phase - no of phase,power source,electric | single phase,input phase | number of phase | phase | phase type | power supply | power supply type | power type,no of phase
Single Phase Flange Mounted,2,1,8,2,2,2,25.0%,50.0%,Single Phase - phase | phase_type | number_of_phase | input_phase |||| Flange Mounted - mounting_type | mounting | mounting_style | mounting_method,flange - mounting type |||| single phase - phase,mounting type | phase,single phase,input phase | mounting | mounting method | mounting style | number of phase | phase type,
Single Phase Induction Motor,0,1,4,2,1,2,0.0%,100.0%,Single Phase - phase_type | phase | number_of_phase | input_phase,induction - motor type |||| single phase - no of phase,,single phase,input phase | number of phase | phase | phase type,motor type | no of phase
Single Phase Motor Starter,1,1,4,2,1,2,25.0%,100.0%,Single Phase - phase | phase_type | number_of_phase | input_phase,motor starter - usage |||| single phase - phase,phase,single phase,input phase | number of phase | phase type,usage
Single Phase Motors,1,1,4,1,1,1,25.0%,100.0%,Single Phase - phase | phase_type | number_of_phase | input_phase,single phase - phase,phase,single phase,input phase | number of phase | phase type,
Slider Type Electric Actuator,0,0,8,1,2,1,0.0%,0.0%,Slider Type - type | motor_type | product_type | device_type |||| Electric - power_source | power_supply | power_type | power_rating,slider - actuator type,,,device type | motor type | power rating | power source | power supply | power type | product type | type,actuator type
Slip Ring Assemblies,0,0,7,1,1,1,0.0%,0.0%,Slip Ring Assemblies - number_of_poles | no_of_poles | poles |||| Slip Ring Assemblies - type | motor_type | product_type | device_type,slip ring - motor part type,,,device type | motor type | no of poles | number of poles | poles | product type | type,motor part type
Slip Ring Motor,1,0,4,2,1,2,25.0%,0.0%,Slip Ring Motor - type | motor_type | product_type | device_type,ring - motor type |||| slip - motor part type,motor type,,device type | product type | type,motor part type
Solenoid Switches,0,0,4,0,1,0,0.0%,0.0%,Solenoid Switches - type | product_type | device_type | product_category,,,,device type | product category | product type | type,
Spindle Motors,0,0,4,0,1,0,0.0%,0.0%,Spindle Motors - type | motor_type | product_type | device_type,,,,device type | motor type | product type | type,
Squirrel Cage Induction Motor tefc type,1,0,8,1,2,1,12.5%,0.0%,Squirrel Cage Induction Motor - type | motor_type | product_type | device_type |||| TEFC - enclosure | body_enclosure | housing_protection | casing_protection,squirrel cage induction - motor type,motor type,,body enclosure | casing protection | device type | enclosure | housing protection | product type | type,
Squirrel Cage Induction Motor tefc type 415v,1,1,15,2,4,2,6.7%,25.0%,415V - voltage | operating_voltage | supply_voltage | rated_voltage |||| 50Hz - frequency | frequency_hertz | operating_frequency |||| TEFC - enclosure | body_enclosure | housing_protection | ip_rating |||| Squirrel Cage Induction Motor - brand | company | manufacturer | make,415v - voltage |||| squirrel cage induction - motor type,voltage,415v,body enclosure | brand | company | enclosure | frequency | frequency hertz | housing protection | ip rating | make | manufacturer | operating frequency | operating voltage | rated voltage | supply voltage,motor type
Squirrel Cage Motors,0,1,4,1,1,1,0.0%,100.0%,Squirrel Cage - brand | company | manufacturer | make,squirrel cage - motor type,,squirrel cage,brand | company | make | manufacturer,motor type
StarDental Starter,0,1,8,1,2,1,0.0%,50.0%,StarDental - brand | company | manufacturer | make |||| Starter - starter_type | starter_model | starter_model_number | starter_model_name,starter - feeder type,,starter,brand | company | make | manufacturer | starter model | starter model name | starter model number | starter type,feeder type
Start Dental Starter,1,0,8,1,2,1,12.5%,0.0%,Start - brand | company | manufacturer | make |||| Dental Starter - usage_application | application | usage | suitable_for,dental - usage,usage,,application | brand | company | make | manufacturer | suitable for | usage application,
Starters,0,0,4,0,1,0,0.0%,0.0%,Starters - brand | company | manufacturer | make,,,,brand | company | make | manufacturer,
Stater,0,0,4,0,1,0,0.0%,0.0%,Stater - brand | company | manufacturer | make,,,,brand | company | make | manufacturer,
Stators,0,0,4,0,1,0,0.0%,0.0%,Stators - type | product_type | device_type | product_category,,,,device type | product category | product type | type,
Steper Motor,0,0,4,1,1,1,0.0%,0.0%,Steper Motor - type | motor_type | product_type | device_type,motor - part type,,,device type | motor type | product type | type,part type
Stepper Motor,0,0,4,1,1,1,0.0%,0.0%,Stepper Motor - model_number | model_name | model | model_no,stepper - motor type,,,model | model name | model no | model number,motor type
Stepper Motor Controller,0,0,4,1,1,1,0.0%,0.0%,Stepper Motor Controller - model_number | model_name | model | model_no,stepper - motor type,,,model | model name | model no | model number,motor type
Stirrer Motor,0,1,8,1,2,1,0.0%,50.0%,Stirrer - brand | company | manufacturer | make |||| Motor - type | motor_type | product_type | device_type,motor - part type,,motor,brand | company | device type | make | manufacturer | motor type | product type | type,part type
Suguna Motor Starter,1,1,4,2,1,2,25.0%,100.0%,Suguna - brand | company | manufacturer | make,motor starter - usage |||| suguna - brand,brand,suguna,company | make | manufacturer,usage
Sunflag Table Fan Motor,2,1,8,2,2,2,25.0%,50.0%,Sunflag - brand | company | manufacturer | make |||| Table Fan Motor - usage_application | application | usage | suitable_for,sunflag - brand |||| table fan - usage,brand | usage,sunflag,application | company | make | manufacturer | suitable for | usage application,
Swing Gate Motor,0,0,7,1,2,1,0.0%,0.0%,Swing Gate Motor - type | motor_type | product_type | device_type |||| Semi-Automatic - automation_grade | operation_mode | working_mode,gate - usage,,,automation grade | device type | motor type | operation mode | product type | type | working mode,usage
Switch Reluctance Motor,1,0,4,1,1,1,25.0%,0.0%,Switch Reluctance Motor - type | motor_type | product_type | device_type,reluctance motor - motor type,motor type,,device type | product type | type,
Synchronous Motor,0,0,4,0,1,0,0.0%,0.0%,Synchronous Motor - type | motor_type | product_type | device_type,,,,device type | motor type | product type | type,
Synchronous Transformer,0,0,4,0,1,0,0.0%,0.0%,Synchronous - type | motor_type | product_type | device_type,,,,device type | motor type | product type | type,
TEFC Motor,0,1,4,2,1,2,0.0%,100.0%,TEFC - enclosure | body_enclosure | housing_protection | mounting_type,motor - part type |||| tefc - motor type,,tefc,body enclosure | enclosure | housing protection | mounting type,motor type | part type
TR 7 25x50 Holder,0,1,11,1,3,1,0.0%,33.3%,TR 7 - model_number | model_name | model | model_no |||| 25x50 - size | dimension | frame_size |||| Holder - mounting_type | mounting | mounting_style | mounting_method,tr 7 - model name/number,,tr 7,dimension | frame size | model | model name | model no | model number | mounting | mounting method | mounting style | mounting type | size,model name/number
Tata Signa Bs4 Blower Motor,1,2,12,2,3,2,8.3%,66.7%,Tata - brand | company | manufacturer | make |||| Signa Bs4 - model_number | model_name | model | model_no |||| Blower Motor - usage_application | application | usage | suitable_for,blower motor - part type |||| signa bs4 - suitable for,suitable for,blower motor | signa bs4,application | brand | company | make | manufacturer | model | model name | model no | model number | usage | usage application,part type
Telemetry Encoder Unit,1,0,8,1,2,1,12.5%,0.0%,Telemetry - brand | company | manufacturer | make |||| Encoder Unit - type | motor_type | product_type | device_type,encoder - type,type,,brand | company | device type | make | manufacturer | motor type | product type,
