query,gt_success,gemma_success,gt_total_keys,gt_unique_values,gemma_total_keys,gemma_unique_values,matched_key_count,matched_value_count,gt_only_key_count,gemma_only_key_count,key_match_rate,value_match_rate,perfect_match_count,partial_match_count,matched_keys,gt_only_keys,gemma_only_keys,matched_values,key_match_details_json,value_match_details_json,priority_alignment_json
swing starter,True,True,4,1,4,1,0,0,4,4,0.00%,0.00%,0,0,,use; category; application; product category,starting method; type of starter; starter; starter type,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
symphony air cooler motor,True,True,7,3,8,2,5,1,2,3,71.43%,33.33%,1,2,motor type; product type; manufacturer; company; brand,use; application,make; device type; type,symphony,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""cooler motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""cooler motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 2, ""gemma_key"": ""product_type"", ""gemma_value"": ""Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""manufacturer"", ""gt_key"": ""manufacturer"", ""gt_value"": ""symphony"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""manufacturer"", ""gemma_value"": ""Symphony"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""company"", ""gt_key"": ""company"", ""gt_value"": ""symphony"", ""gt_key_priority"": 3, ""gt_attr_priority"": 1, ""gemma_key"": ""company"", ""gemma_value"": ""Symphony"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""symphony"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""brand"", ""gemma_value"": ""Symphony"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": true}]","[{""value"": ""symphony"", ""gt_original"": ""symphony"", ""gemma_original"": ""Symphony"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""make"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": true}]","{""perfect_matches"": [{""key"": ""brand"", ""value"": ""symphony"", ""priorities"": ""key_prio=1, attr_prio=1""}], ""partial_matches"": [{""key"": ""manufacturer"", ""value"": ""symphony"", ""gt_priorities"": ""key_prio=2, attr_prio=1"", ""gemma_priorities"": ""key_prio=3, attr_prio=1""}, {""key"": ""company"", ""value"": ""symphony"", ""gt_priorities"": ""key_prio=3, attr_prio=1"", ""gemma_priorities"": ""key_prio=2, attr_prio=1""}]}"
synchronous-motor,True,True,2,1,4,1,2,0,0,2,100.00%,0.00%,0,0,motor type; product type,,type; device type,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""synchronous motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Synchronous-Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""synchronous motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Synchronous-Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": true}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
table fan motor,True,True,4,2,6,1,0,0,4,6,0.00%,0.00%,0,0,,use; application; motor type; product type,automation grade; power source; operation mode; power supply; working mode; power type,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
tawagawa hollow encoder ts 5700n8500,True,True,2,1,12,2,0,0,2,8,0.00%,0.00%,0,0,,category; product category,make; model name; model; model number; manufacturer; company; model no; brand,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
tawagawa hollow encoder ts-5700n8500,True,True,2,1,16,3,0,0,2,12,0.00%,0.00%,0,0,,category; product category,make; device type; motor type; product type; model name; model; manufacturer; model number; company; model no; type; brand,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
three  phase 1 ATS480C66Y,True,True,5,2,8,2,3,2,2,5,60.00%,100.00%,3,0,phase; model number; model,part number; supply phase,phase type; number of phase; input phase; model name; model no,three phase; ats480c66y,"[{""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""phase"", ""gemma_value"": ""Three Phase"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": true}, {""normalized_key"": ""model number"", ""gt_key"": ""model_number"", ""gt_value"": ""ATS480C66Y"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""gemma_key"": ""model_number"", ""gemma_value"": ""ATS480C66Y"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": true}, {""normalized_key"": ""model"", ""gt_key"": ""model"", ""gt_value"": ""ATS480C66Y"", ""gt_key_priority"": 3, ""gt_attr_priority"": 2, ""gemma_key"": ""model"", ""gemma_value"": ""ATS480C66Y"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": true}]","[{""value"": ""three phase"", ""gt_original"": ""three phase"", ""gemma_original"": ""Three Phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""phase_type"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""number_of_phase"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""input_phase"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": true}, {""value"": ""ats480c66y"", ""gt_original"": ""ATS480C66Y"", ""gemma_original"": ""ATS480C66Y"", ""gt_keys"": [{""key"": ""model_number"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""part_number"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""model"", ""key_priority"": 3, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""model_number"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""model_name"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""model"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""model_no"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": true}]","{""perfect_matches"": [{""key"": ""phase"", ""value"": ""three phase"", ""priorities"": ""key_prio=1, attr_prio=1""}, {""key"": ""model number"", ""value"": ""ATS480C66Y"", ""priorities"": ""key_prio=1, attr_prio=2""}, {""key"": ""model"", ""value"": ""ATS480C66Y"", ""priorities"": ""key_prio=3, attr_prio=2""}], ""partial_matches"": []}"
three phase 1 mini dol automatic-switch,True,True,8,4,13,4,1,1,3,12,25.00%,25.00%,1,0,phase,category; product category; supply phase,starting method; phase type; number of phase; automation grade; input phase; size; operation mode; starter; working mode; starter type; frame size; dimension,three phase,"[{""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""phase"", ""gemma_value"": ""Three Phase"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": true}]","[{""value"": ""three phase"", ""gt_original"": ""three phase"", ""gemma_original"": ""Three Phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""phase_type"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""number_of_phase"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""input_phase"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": true}]","{""perfect_matches"": [{""key"": ""phase"", ""value"": ""three phase"", ""priorities"": ""key_prio=1, attr_prio=1""}], ""partial_matches"": []}"
three phase 1 piece 1 hp (0.75 kw) 1440 rpm 1.5 KW Sew Brake Motor,True,False,16,6,0,0,0,0,15,0,0.00%,0.00%,0,0,,motor type; product type; supply phase; phase; power; rated speed; manufacturer; kilowatt; company; hp; wattage; horsepower; speed; brand; rpm,,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
three phase 1 piece 5 hp 2800 rpm 3.7 KW 5HP Crompton Greaves Motor 1500 rpm,True,False,19,7,0,0,0,0,15,0,0.00%,0.00%,0,0,,motor type; product type; supply phase; phase; power; rated speed; manufacturer; kilowatt; company; hp; wattage; horsepower; speed; brand; rpm,,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
three phase 2800 rpm 2 0.25 hp electric vibro motor,True,True,10,4,19,5,4,3,6,15,40.00%,75.00%,0,4,phase; rated speed; rpm; speed,motor type; product type; supply phase; hp; horsepower; power,poles; phase type; input phase; number of phase; lifting capacity; weight capacity; power source; capacity; power supply; no of poles; number of poles; motor speed; power requirement; load capacity; power type,three phase; 0.25 hp; 2800 rpm,"[{""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""gemma_key"": ""phase"", ""gemma_value"": ""Three Phase"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""rated speed"", ""gt_key"": ""rated_speed"", ""gt_value"": ""2800 rpm"", ""gt_key_priority"": 3, ""gt_attr_priority"": 4, ""gemma_key"": ""rated_speed"", ""gemma_value"": ""2800 RPM"", ""gemma_key_priority"": 4, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""rpm"", ""gt_key"": ""rpm"", ""gt_value"": ""2800 rpm"", ""gt_key_priority"": 2, ""gt_attr_priority"": 4, ""gemma_key"": ""rpm"", ""gemma_value"": ""2800 RPM"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""speed"", ""gt_key"": ""speed"", ""gt_value"": ""2800 rpm"", ""gt_key_priority"": 1, ""gt_attr_priority"": 4, ""gemma_key"": ""speed"", ""gemma_value"": ""2800 RPM"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}]","[{""value"": ""three phase"", ""gt_original"": ""three phase"", ""gemma_original"": ""Three Phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 3}], ""gemma_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""phase_type"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""number_of_phase"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""input_phase"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": true}, {""value"": ""0.25 hp"", ""gt_original"": ""0.25 hp"", ""gemma_original"": ""0.25 HP"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""capacity"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""load_capacity"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""weight_capacity"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""lifting_capacity"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": false}, {""value"": ""2800 rpm"", ""gt_original"": ""2800 rpm"", ""gemma_original"": ""2800 RPM"", ""gt_keys"": [{""key"": ""speed"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""rpm"", ""key_priority"": 2, ""attr_priority"": 4}, {""key"": ""rated_speed"", ""key_priority"": 3, ""attr_priority"": 4}], ""gemma_keys"": [{""key"": ""speed"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""rpm"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""motor_speed"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""rated_speed"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""phase"", ""value"": ""three phase"", ""gt_priorities"": ""key_prio=1, attr_prio=3"", ""gemma_priorities"": ""key_prio=1, attr_prio=1""}, {""key"": ""rated speed"", ""value"": ""2800 rpm"", ""gt_priorities"": ""key_prio=3, attr_prio=4"", ""gemma_priorities"": ""key_prio=4, attr_prio=1""}, {""key"": ""rpm"", ""value"": ""2800 rpm"", ""gt_priorities"": ""key_prio=2, attr_prio=4"", ""gemma_priorities"": ""key_prio=2, attr_prio=1""}, {""key"": ""speed"", ""value"": ""2800 rpm"", ""gt_priorities"": ""key_prio=1, attr_prio=4"", ""gemma_priorities"": ""key_prio=1, attr_prio=1""}]}"
three phase 2800 rpm 2 0.25 hp single phase vibro motors,True,True,10,4,15,4,5,3,5,10,50.00%,75.00%,0,5,phase; rated speed; speed; power; rpm,motor type; product type; supply phase; hp; horsepower,phase type; number of phase; input phase; motor power; power source; power supply; motor speed; wattage; power rating; power type,three phase; 0.25 hp; 2800 rpm,"[{""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""gemma_key"": ""phase"", ""gemma_value"": ""Three Phase"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""rated speed"", ""gt_key"": ""rated_speed"", ""gt_value"": ""2800 rpm"", ""gt_key_priority"": 3, ""gt_attr_priority"": 4, ""gemma_key"": ""rated_speed"", ""gemma_value"": ""2800 RPM"", ""gemma_key_priority"": 4, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""speed"", ""gt_key"": ""speed"", ""gt_value"": ""2800 rpm"", ""gt_key_priority"": 1, ""gt_attr_priority"": 4, ""gemma_key"": ""speed"", ""gemma_value"": ""2800 RPM"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""0.25 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""gemma_key"": ""power"", ""gemma_value"": ""0.25 HP"", ""gemma_key_priority"": 4, ""gemma_attr_priority"": 4, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""rpm"", ""gt_key"": ""rpm"", ""gt_value"": ""2800 rpm"", ""gt_key_priority"": 2, ""gt_attr_priority"": 4, ""gemma_key"": ""rpm"", ""gemma_value"": ""2800 RPM"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}]","[{""value"": ""three phase"", ""gt_original"": ""three phase"", ""gemma_original"": ""Three Phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 3}], ""gemma_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""phase_type"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""number_of_phase"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""input_phase"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": true}, {""value"": ""0.25 hp"", ""gt_original"": ""0.25 hp"", ""gemma_original"": ""0.25 HP"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""power_rating"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""wattage"", ""key_priority"": 2, ""attr_priority"": 4}, {""key"": ""motor_power"", ""key_priority"": 3, ""attr_priority"": 4}, {""key"": ""power"", ""key_priority"": 4, ""attr_priority"": 4}], ""under_same_key"": true}, {""value"": ""2800 rpm"", ""gt_original"": ""2800 rpm"", ""gemma_original"": ""2800 RPM"", ""gt_keys"": [{""key"": ""speed"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""rpm"", ""key_priority"": 2, ""attr_priority"": 4}, {""key"": ""rated_speed"", ""key_priority"": 3, ""attr_priority"": 4}], ""gemma_keys"": [{""key"": ""speed"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""rpm"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""motor_speed"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""rated_speed"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""phase"", ""value"": ""three phase"", ""gt_priorities"": ""key_prio=1, attr_prio=3"", ""gemma_priorities"": ""key_prio=1, attr_prio=1""}, {""key"": ""rated speed"", ""value"": ""2800 rpm"", ""gt_priorities"": ""key_prio=3, attr_prio=4"", ""gemma_priorities"": ""key_prio=4, attr_prio=2""}, {""key"": ""speed"", ""value"": ""2800 rpm"", ""gt_priorities"": ""key_prio=1, attr_prio=4"", ""gemma_priorities"": ""key_prio=1, attr_prio=2""}, {""key"": ""power"", ""value"": ""0.25 hp"", ""gt_priorities"": ""key_prio=1, attr_prio=2"", ""gemma_priorities"": ""key_prio=4, attr_prio=4""}, {""key"": ""rpm"", ""value"": ""2800 rpm"", ""gt_priorities"": ""key_prio=2, attr_prio=4"", ""gemma_priorities"": ""key_prio=2, attr_prio=2""}]}"
three phase 3.7 kw crompton greaves induction motor,True,True,10,4,10,3,5,3,5,5,50.00%,75.00%,1,4,power; manufacturer; company; wattage; brand,motor type; product type; supply phase; phase; kilowatt,make; motor power; power source; power supply; power type,3.7 kw; three phase; crompton greaves,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""3.7 kw"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""gemma_key"": ""power"", ""gemma_value"": ""3.7 KW"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 3, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": true}, {""normalized_key"": ""manufacturer"", ""gt_key"": ""manufacturer"", ""gt_value"": ""crompton greaves"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""manufacturer"", ""gemma_value"": ""Crompton Greaves"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""company"", ""gt_key"": ""company"", ""gt_value"": ""crompton greaves"", ""gt_key_priority"": 3, ""gt_attr_priority"": 1, ""gemma_key"": ""company"", ""gemma_value"": ""Crompton Greaves"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""wattage"", ""gt_key"": ""wattage"", ""gt_value"": ""3.7 kw"", ""gt_key_priority"": 3, ""gt_attr_priority"": 3, ""gemma_key"": ""wattage"", ""gemma_value"": ""3.7 KW"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 3, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""crompton greaves"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""brand"", ""gemma_value"": ""Crompton Greaves"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": false}]","[{""value"": ""3.7 kw"", ""gt_original"": ""3.7 kw"", ""gemma_original"": ""3.7 KW"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""kilowatt"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""wattage"", ""key_priority"": 3, ""attr_priority"": 3}], ""gemma_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""wattage"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""motor_power"", ""key_priority"": 3, ""attr_priority"": 3}], ""under_same_key"": true}, {""value"": ""three phase"", ""gt_original"": ""three phase"", ""gemma_original"": ""Three Phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 4}], ""gemma_keys"": [{""key"": ""power_source"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""power_supply"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""power_type"", ""key_priority"": 3, ""attr_priority"": 1}], ""under_same_key"": false}, {""value"": ""crompton greaves"", ""gt_original"": ""crompton greaves"", ""gemma_original"": ""Crompton Greaves"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""company"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""manufacturer"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""make"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": true}]","{""perfect_matches"": [{""key"": ""power"", ""value"": ""3.7 kw"", ""priorities"": ""key_prio=1, attr_prio=3""}], ""partial_matches"": [{""key"": ""manufacturer"", ""value"": ""crompton greaves"", ""gt_priorities"": ""key_prio=2, attr_prio=1"", ""gemma_priorities"": ""key_prio=3, attr_prio=2""}, {""key"": ""company"", ""value"": ""crompton greaves"", ""gt_priorities"": ""key_prio=3, attr_prio=1"", ""gemma_priorities"": ""key_prio=2, attr_prio=2""}, {""key"": ""wattage"", ""value"": ""3.7 kw"", ""gt_priorities"": ""key_prio=3, attr_prio=3"", ""gemma_priorities"": ""key_prio=2, attr_prio=3""}, {""key"": ""brand"", ""value"": ""crompton greaves"", ""gt_priorities"": ""key_prio=1, attr_prio=1"", ""gemma_priorities"": ""key_prio=1, attr_prio=2""}]}"
three phase 5 ac induction motor piece 10 hp 1440 rpm Three Phase Induction Motor Cg Make 3 HP,True,False,15,6,0,0,0,0,15,0,0.00%,0.00%,0,0,,motor type; product type; supply phase; phase; power; supply type; rated speed; manufacturer; current type; company; hp; speed; horsepower; brand; rpm,,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
three phase dol dry run motor starter,True,True,6,3,10,3,2,1,4,8,33.33%,33.33%,0,1,phase; application,use; motor type; product type; supply phase,starting method; number of phase; usage; no of poles; number of poles; starter; starter type; usage application,three phase,"[{""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""gemma_key"": ""phase"", ""gemma_value"": ""Three Phase"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""application"", ""gt_key"": ""application"", ""gt_value"": ""starter"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""gemma_key"": ""application"", ""gemma_value"": ""Dry Run"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 4, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]","[{""value"": ""three phase"", ""gt_original"": ""three phase"", ""gemma_original"": ""Three Phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""number_of_phase"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""phase"", ""key_priority"": 2, ""attr_priority"": 1}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""phase"", ""value"": ""three phase"", ""gt_priorities"": ""key_prio=1, attr_prio=2"", ""gemma_priorities"": ""key_prio=2, attr_prio=1""}]}"
