"fk_im_spec_master_desc","fk_im_spec_options_desc"
Power Source,Electric
Automation Grade,Automatic
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Country of Origin,Made in India
Power Source,Electric
Country of Origin,Made in India
Automation Grade,Automatic
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Power Source,Electric
Automation Grade,Automatic
Country of Origin,Made in India
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Country of Origin,Made in India
Power Source,Electric
Color,BLUE / WHITE
Installation Services,Yes
Maintenance,No Maintenance
Material to be Extruded,Plastic
Body Material,MS
Weight,"12 Ton"
Warranty,"1 Year"
Phase,Single Phase
Plastic Processed,EXTRUDER
Material,LD/ PP/ HM/ Biodegradable
Maintenance,No Maintenance
Power Source,Electric
Automation Grade,Automatic
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Country of Origin,Made in India
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Country of Origin,Made in India
Power Source,Electric
Automation Grade,Automatic
Automation Grade,Automatic
Country of Origin,Made in India
Power Source,Electric
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Power Source,Electric
Country of Origin,Made in India
Automation Grade,Automatic
Power Source,Electric
Country of Origin,Made in India
Automation Grade,Automatic
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Power Source,Electric
Automation Grade,Automatic
Country of Origin,Made in India
Brand,Own
Material To Be Extruded,Plastic
Country of Origin,Made in India
Power (W),"1 kW"
Installation Services,Yes
Country of Origin,Made in India
Installation Services,Yes
Installation Services,Yes
Automation Grade,Automatic
Country of Origin,Made in India
Installation Services,Yes
Size,W650 X L950 X H1500 mm
Phase,"3"
Automatic Grade,Automatic
Output(kg/hr),"100-200   kg/hr"
Operation Mode,Automatic
Voltage,"220v to 420v"
Weight,Approx 30 Kg
Voltage,"220 V"
Pressure,"0- 100 psi"
Phase,Three Phase
Automation Grade,Semi-Automatic
Phase,Three Phase
Brand,ISHAN
Body Material,MS
Color,Bluish
Weight,"900 Kg"
Material,Mild Steel
Phase,Single Phase
Frequency,"50 - 60 Hz"
Surface Finishing,Color Coated
Brand,Surekh Geotech
Power,N/A
Product Type,BITUMEN TESTING
Output,"120 - 200 Kg/hr"
Machine Power,"48 - 75 ( kw )"
Thickness,"20 - 100 ( Micron )"
Weight,"6 Ton"
Lay Flat Width,"750 - 1200 ( mm )"
Machine Weight,"6 Ton"
Dimension,"25 X 20 X 16 to 30 X 25 X 24 ( L X W X H )"
Output,"20 - 30 kg /hr"
Output,"40 - 60 kg /hr"
Weight,"1200 Kg"
Automation Grade,Semi-Automatic
Voltage,"220V"
Phase,Single Phase
Voltage,"240V"
Operation Mode,Automatic
Thickness,"20 - 150 ( Micron )"
Power Source,Electric
Country of Origin,Made in India
Model Name/Number,GOYUM Extruder
Voltage,"380V"
Installation Services,Yes
Frequency,"50 Hz"
Voltage,"48 - 75 ( kw )"
Automatic Grade,Automatic
Power,"48 - 75 ( kw )"
Connected Load,"48 - 75 ( kw )"
Brand,Steco
Usage/Application,Commercial
Material,PP
Material,HDPE
Country of Origin,Made in India
Body Material,MS
Brand,Ocean Extrusions Pvt Ltd
Maintenance,No Maintenance
Material,"LD,PP,HM,Biodegradable"
Lay Flat Width Range,"600 - 1250 to 1400 - 2100 ( mm )"
Voltage,"146 - 194 ( kw )"
Voltage,"380 - 440"
Capacity,"110 Kg/Hr to 700 Kg/Hr"
Country of Origin,Made in India
Brand,LABH
Voltage,"440 V"
Automation Grade,Automatic
Voltage,"220 V"
Display Type,Digital
Automatic Grade,Fully-automatic
Capacity,"500 kg/hour"
Finishing,"Polycarbonate casing to prevent contamination, The machine has all pneumatic cylinders of Festo make"
I Deal In,New Only
Finishing,"Polycarbonate casing to prevent contamination, The machine has all pneumatic cylinders of Festo make"
Installation Services,Yes
Material,SS 304
Finishing,"Polycarbonate casing to prevent contamination, The machine has all pneumatic cylinders of Festo make"
Usage/Application,For Liquid Extraction of Dairy Products
Voltage,"440 Volts"
Driven Type,AC Frequency Drive
Raw Material,LDPE / LLDPE
Frequency,"50 Hz"
Production Capacity,"100 to 500kgs  per hour deoends on the size of machine"
Capacity,"50-200 TPD"
Capacity,"50-2000 TPD"
Capacity,"120kg"
Capacity,"100 kg to 5000 kg per day"
Capacity,"9000 LPH"
Production Capacity,"110 Kg/Hr to 700 Kg/Hr"
Capacity,"100 - 500 Tons Per Day"
Production Capacity,Monthly 10 to 15
Capacity,Min 1 ton per batch
Capacity,"50-2000 TPD"
Capacity,"5 kg"
Capacity,"2 Kg"
Material,Stainless Steel
Brand,Prism
Automation Grade,Automatic
Material,Mild Steel
Material,Stainless Steel
Brand,Ansar
Automation Grade,Automatic
Capacity,"Standard design,depending on process"
Automation Grade,Automatic
Brand,SPECTEC
Usage/Application,"OIL EXTRACTION FROM OIL SEEDS, DOC AND RICE BRAN"
Brand,SPECTEC
Usage/Application,"OIL EXTRACTION FROM OIL SEEDS, DOC AND RICE BRAN"
Capacity,"3000 lit, 5000 lit, 6000 lit, 10,000 lit, 12,000 lit"
Automation Grade,Semi-Automatic
Usage/Application,Industrial
Material To Be Extruded,"Pestrisides, insecticide chemical"
Frequency,"1carrd 1000  etrrc tan"
Automation Grade,Fully Automatic
Phase,Three Phase
Capacity,"96 PPP (Positive Pressure Processor) SPE unit"
Machine Power (kW),"80 kW"
Material,Mild Steel and stainless steel
Automation Grade,Automatic and Semi Automatic
Frequency,"50 Hz"
Power Source,Electric
Material To Be Extruded,Plastic
Usage/Application,Industrial
Usage/Application,SOLVENT EXTRACTION OF ESSENTIAL OILS
Machine Type,AUTOMATIC
Brand,OM SAKTHI
Machine Type,Three Layer Extrusion Machine
Phase,"3 Phase"
Machine Type,Solvent Extraction Plant
Brand,Bharti Udyam
Usage/Application,Industrial
Usage/Application,Extraction Of vegetable Oil
Brand,Vinksons
Phase,Single Phase
Usage/Application,Industrial
Machine Type,Continuous Solvent Extraction Plants
Brand,Pemac Projects
Usage/Application,Industrial
Automation Grade,Semi-Automatic
Material,Stainless Steel
Material,Stainless Steel and Glass
Surface Finish,Polished
Phase,Three Phase
Voltage,"440 V"
Main Electric Motor HP/KW,"230 KW"
Motor Power,"5 kW"
Screw Center Distance,"26 mm"
Rotate Speed Range,"0-500 rpm"
Material,Mild Steel
Phase,Three Phase
Screw Speed Range PP,"600 min-1 PP (Pellet) + Talk (30% - 50%, Fine Powder)"
Throughput Range ABS,"250 - 800 (kg/h)"
Throughput Range Pellet,"300 - 500 (kg/h)"
Throughput Range PC Hight Molecular weight,"300 - 550 (kg/h)"
Throughput Range PP Pellet,"900 - 1600 (kg/h) PP (Pellet) + GF (30%)"
Throughput Range Modified PPO,"700 - 1100  (kg/h) Modified PPO (Pellet + Powder)"
Motor make,Siemens
Part Used,Fruit
Botanical Name,Nelumbo Nucifera
Screw Diameter Extruder A,"50 mm"
Material Thickness Range max,"2.2 - 1.5mm"
suitable,use in jewellery
Screw Diameter,"50mm"
Grade,Automatic
Surface Finish,Paint Coated
MARK,YongXin Technoplas Machinery Co--
Model Name/Number,Alpha18
Screw Speed,"1200 rpm"
Throughput,"40 Kg/h"
Height,"2000 m"
Dimension,"1900x700x1800 mm"
Max Inlet Wire Diameter (mm),"0-3 mm"
Max Inlet Wire Diameter (mm),"6-9 mm"
Min Finish Wire Diameter (mm),"1-2 mm"
Min Finish Wire Diameter (mm),"2-3 mm"
Material,Mild Steel
Power Consumption,"40-80 kW"
Body Material,Stainless Steel
Material Grade,SS316
Process Time,"8 Hour"
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Country of Origin,Made in India
Power Source,Electric
Automation Grade,Automatic
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Power Source,Electric
Automation Grade,Automatic
Country of Origin,Made in India
Country of Origin,Made in India
Size,"30 X 15 X 18 60 X 40 X 20 ( L X W X H )"
Power Source,Electric
Automation Grade,Automatic
Color,Blue / White
Maintenance,No Maintenance
Plastic Processed,Extruder
Material to be Extruded,Plastic
Weight,"12 Ton"
Warranty,"1 Year"
Installation Services,Yes
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Country of Origin,Made in India
Power Source,Electric
Automation Grade,Automatic
Automation Grade,Automatic
Country of Origin,Made in India
Power Source,Electric
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Country of Origin,Made in India
Installation Services,Yes
Brand,Bet
Automation Grade,Semi Automatic
Voltage,"415 V"
Usage/Application,"Used for extraction of spices, herbals, alkaloids, natural colors and gums. We can supply any capaci"
Country of Origin,Made in India
Automation Grade,Semi Automatic
Voltage,"415V"
Usage/Application,"Used for extraction of spices, herbals, alkaloids, natural colors and gums. We can supply any capaci"
Installation Services,Yes
Brand,Bet
Automation Grade,Semi Automatic
Usage/Application,"Used for extraction of spices, herbals, alkaloids, natural colors and gums. We can supply any capaci"
Country of Origin,Made in India
Voltage,"415 V"
Installation Services,Yes
Brand,Bet
Automation Grade,Semi Automatic
Country of Origin,Made in India
Automation Grade,Automatic
Usage/Application,Industrial
Voltage,"440 V"
Phase,Three Phase
Material To Be Extruded,Plastic
Size,"90 feet"
Usage/Application,wire manufacturing
Production Capacity,"500 kg/hr"
Frequency,"50Hz"
Machine Power (kW),"20 kW"
Country of Origin,Made in India
Country of Origin,Made in India
Color,white and blue
Automatic Grade,Automatic
Country of Origin,Made in India
Type of Machine,Biodegradable Bag Making Machine
Voltage,"415"
Usage/Application,Mulch Film Making
Phase,Three Phase
Voltage,"440V"
Material,Stainless Steel
Voltage,"440V"
Installation Services,Yes
Automation Grade,Semi Automatic
Material,SS316/SS304
Power Source,Electrical
Usage/Application,Extraction Systems
Voltage,"220/415V"
Installation Services,Yes
Country of Origin,Made in India
Voltage,"220/415V"
Country of Origin,Made in India
Automation Grade,Semi Automatic
Material,SS316/SS304
Power Source,Electrical
Usage/Application,Extraction Systems
Installation Services,Yes
Country of Origin,Made in India
Automation Grade,Semi Automatic
Material,SS316/SS304
Power Source,Electrical
Usage/Application,Extraction Systems
Voltage,"220/415V"
Installation Services,Yes
Country of Origin,Made in India
Automation Grade,Semi Automatic
Material,SS316/SS304
Power Source,Electrical
Usage/Application,Extraction Systems
Voltage,"220/415V"
Automation Grade,Semi Automatic
Country of Origin,Made in India
Material,SS316/SS304
Power Source,Electrical
Voltage,"220/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Power Source,Electrical
Automation Grade,Semi Automatic
Material,SS316/SS304
Usage/Application,Extraction Systems
Installation Services,Yes
Voltage,"220/415V"
Installation Services,Yes
Automation Grade,Semi Automatic
Country of Origin,Made in India
Voltage,"220/415V"
Power Source,Electrical
Usage/Application,Extraction Systems
Material,SS316/SS304
Country of Origin,Made in India
Power Source,Electrical
Usage/Application,Extraction Systems
Voltage,"220/415V"
Installation Services,Yes
Country of Origin,Made in India
Automation Grade,Semi Automatic
Material,SS316/SS304
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"220/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Country of Origin,Made in India
Installation Services,Yes
Voltage,"380/415"
Usage/Application,Solvent Extraction Process
Brand,Mech O Tech LLP
Power Source,Electrical
Voltage,"380/415"
Usage/Application,Solvent Extraction Plant
Country of Origin,Made in India
Brand,Mech O Tech LLP
Power Source,Electrical
Installation Services,Yes
Automation Grade,Semi Autometic
Material,SS304/316
Power Source,Electrical
Frequency,Yes
Usage/Application,Extraction Systems
Voltage,"380/415"
Installation Services,Yes
Country of Origin,Made in India
Voltage,"220"
Country of Origin,Made in India
Size,"16*16*12 feet"
Production Capacity,"12 ton"
Power Consumption,"100 HP"
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"220/415V"
Usage/Application,Extraction Systems
Power Source,Electrical
Voltage,"220/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"220/415V"
Automation Grade,Semi Automatic
Installation Services,Yes
Brand,Mech O Tech
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Power Source,Electrical
Voltage,"380/415V"
Installation Services,Yes
Brand,Mech O Tech
Voltage,"380/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Phase,"3 Phase"
Material,Mild Steel
Usage/Application,Industrial
Machine Power (kW),upto 40 kW
Frequency,"50Hz"
Machine Type,Tube Extrusion Machine
Material,SS 2316
Power Source,Electric
Brand,SPECTEC
Usage/Application,"EXTRACTION OF OIL FROM OIL SEEDS,RICE BRAN"
Material,Mild Steel and stainless steel
Machine Type,NA
Frequency,NA
Machine Power (kW),"20 kW"
Frequency,"60 Hz"
Usage/Application,Herbal / Spices Extraction Unit
Automation Grade,Automatic
Usage/Application,Industrial
Material,Stainless Steel
Phase,"3 Phase"
Refining Material,Gold
Orientation,Vertical
Power Rating,"3 KW to 300 KW"
Motor,"12 kW"
Phase,Three Phase
Width (mm),"535"
Height (mm),"500"
Voltage,"240 V"
Name Of Extract,Guduchi Extract
Electric Motor,"0.25 Hp"
Service Duration,"1 Week"
Deals in,Only new
Electronic Balance,"5 kg/500mg or 5 kg/100mg or 5 kg/10mg"
Power Consumption,"180 kW"
model,wshe 50
automation grade,automatic
Machine Power (kw),"40-80"
Usage,Gold Refining
Usage/Application,Industrial
Power Source,Electric
Die Life,"50000-500000 Shots"
Film Thickness,"0.12 mm"
Film Width,"250 mm"
Raw Material,PP
Film Width(max.),"450 mm"
Screw Ratio,"30:1 l/d"
Paper Code O.D.,"90 mm"
Day Chamber,"1 Set"
Material Grade,"SS304, SS316"
Location,Banglore
Phase,Single Phase
Brand,MM Despro Engineering
Actuator Motor,Stepper/Servo
Brand,Robot Coupe
Length (mm),"235"
Net Weight (kg),"11"
Main Body,Stainless Steel
Capacity,Output: 120 L/H Pulp container: 6.5 LTR
Variable speed,"50-3600 RPM"
Material,All Kinds
Finished,Coated
Min Pipe Diameter,"0.5 inch"
Frequency,"50 Hz"
Model Name/Number,WTS 110 to WTS 700
Surface Treatment,Supreme Color coated
Extraction tank capacity,"50L - 2000L"
Motor Power,"10 HP"
Automatic Grade,Automatic
Voltage,"220 V"
Frequency,"50 Hz"
Motor Power,"3HP"
Phase,Single
Series,Auto Mini Series
Screw Diameter,"45 mm"
Screw Ratio,"28:1 l/d"
Driving A.C. Motor + Inverter,"20 Hp"
Screw Speed,"110 RPM"
Die Diameter,"65+85 mm"
Embossing Roller,"600mm x 1 pc"
Embossing Motor,"20 kg/cm"
Series,PP Series
Paper Core I.D.,"70 mm"
Model Number,PPM-35ET
Screw Diameter,"35 (mm)"
Cooling Blower,"2 (HP)"
Material to be Streched,Aluminium
Automatic Grade,Automatic
Power,"37kw"
Type,Single Die Extruder
Type,Extruder Machine
Frequency,"50 Hz"
Hardness,"50-60 HRC"
Surface Finish,Polished
Payment Mode,Online And Offline
Requirement Type,One Time
Power Consumption,"8 kW"
Heating Zone,"8 Nos."
Filter,Candle
Winder Drive,Torque
Total Connected Load,"74 KW"
Main Extruder Hydraulic Screen Changer,"225 mm"
Speed,"1440 RPM"
Total Consuming Load,"34Kw"
Filter,Candle
Heat Zone,"7 Nos."
Screw Die,"45 mm"
Screw Speed,"0-80 RPM"
Winder Drive,Torque
Connecting Load,"25 kW"
Peak Output (Kg/Unit),"2.2"
Winders,"2 Nos"
Material,SS 316 and SS 304
Max Output,"250-300 Kg/Hr"
Minimum Quantity,"40gm"
Length,"42D"
Drive Power,"0.9 Kw"
Height,"310 m"
Driven Type,Electric
Driven Type,Motorised
Model Name/Number,TIEI
Payment Mode,Online/Offline
Voltage,"220 V"
Phase,Three Phase
Model Name/Number,FS-ABA-1
Screw LD,"27"
Gear Box,Helical
Screw Speed,"0-90 RPM"
Niproll Size,"800 mm"
NIP Drive AC,"1 HP"
Peak Output (Kg/Unit),"3"
material,stainless
Gear Box,Helical
Power Consumption,"55-90 kW"
Frequency,"50Hz"
Digital Temp. Controller,"0-199.9 deg C"
Plastic Processed,EXTRUDER
"15 FEET HEIGHT WIDHTH -5 FOOT","80-150 KG PER HOUR PRODUCTION"
Packaging Type,Box
Power,"20 HP"
Machine Type,Automatic
Frame Type,Rectangular Acrylic Cabinet
Dimension,"27.6x24.4x15.4 inch (WxHxD)"
Pack Type,Box
Operation Mode,Automatic
Total Consuming Load,"34 KW"
Production Capacity,"110-315 kg/hr"
Total Connected Load,"74Kw"
Machine Type,Semi Automatic
Frequency,"50 Hz"
Type of Extruder,Twin Screw
Material,Stainless Steel
Uses of Application,Silver Recovery
Installation Services,Yes
Power Source,"48 - 75 ( kw )"
Autoamatic Grade,Automatic
Layer of tank,"2 layer, 3 layer tank optional"
Automation,Automatic
Refining Material,Gold and silver & diamond jewellery
Corrosion Resistance,Yes
customized,Yes
location,indiamart
customized,Yes
location,India
LD Ratio,"30:1"
Finishing,Polished
Voltage,"280 V"
Frequency,"50 Hz"
Voltage,"440V"
Material Used,"HM,HDPE virgin raw material"
Optional Item 1,Hopper loader with dryer
Ancillary Equipment 1,Air compressor
AC Variable Drive,"Delta,Taiwan or equivalent"
Working Temperature,-10 Degree C to 40 Degree C (14 Degree F to 104 Degree F)
Working Hours,"24 hours per day"
Material,SS
Pelletiser unit Blades,made up of  alloy steel
Power Source,Electric
Material to be Extruded,Plastic
Driven Type,Electric
Model Name/Number,SJPS
Material,Mild Steel
Vessel Double Bottom Thickness,"12/14 mm"
Extraction Cell Tray,Single cell with two rinse positions
Height (English),"20.0in"
Hertz,"50/60Hz"
Depth (English),"22.1in"
Depth (Metric),"56.1cm"
Display,LCD 8x45 Character
Temperature Control,Up to 200 DegreeC
Material,Steel
Features,Corrosion Resistance
Colour,BLUE / WHITE
Rotor Speed (r/min),"780-850"
Size,"36 inches DIA"
Material to be Extruded,Plastic
Output,"200-300 kg/hr"
Machine Power (kw),"40-80"
Output,"1100kg/h"
Power Consumption,"30 kw"
Material,SS
Phase,"3 Phase Single phase"
Automatic Grade,Automatic
Material,Clay
Brand,shanghai daiwai
Packaging Type,"ldpe,hdpe,lldpe"
Design Type,Standard
Automatic Grade,Automatic
Material to be Extruded,Plastic
Machine Power (kw),"0-40"
Screw Diameter,"55 mm"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Installation Services,Yes
Voltage,"380/415V"
Brand,Mech O Tech
Power Source,Electrical
Usage/Application,Extraction Systems
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Automation Grade,Semi Automatic
Material,SS316/SS304
Power Source,Electrical
Usage/Application,Extraction Systems
Voltage,"380/415V"
Installation Services,Yes
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Voltage,"380/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Plastic Processed,Extruder
Brand,Ocean International
Frequency,"50Hz"
Automation Grade,Automatic
Power Consumption,"55kW"
Voltage,"380/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Warranty,"1 Year"
Automatic Grade,Automatic
Brand,Ocean International
Voltage,"220 V"
Material to be Extruded,Plastic
Thickness,"20 Micron"
Phase,"3"
Maintenance,No
Plastic Processed,Extruder
Brand,Ocean International
Frequency,"50Hz"
Automation Grade,Automatic
Power Consumption,"140kW"
Automation Grade,Automatic
Power Consumption,"194 kW"
Plastic Processed,Extruder
Brand,Ocean International
Frequency,"60 Hz"
Plastic Processed,Extruder
Brand,Ocean International
Machine Power (kW),"100 kW"
Frequency,"50Hz"
Automation Grade,Automatic
Power Consumption,"194kW"
Material,LD
Lay Flat Width Range,"1200 mm"
Brand,Ocean International
Voltage,"440 V"
Power Source,Electric
Phase,"3"
Body Material,MS
Warranty,"1 Year"
Voltage,"220/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech o Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Country of Origin,Made in India
Material,Ss316/304
Power Source,Electrical
Usage/Application,Solvent Extraction Plant
Voltage,"380/415"
Installation Services,Yes
Usage/Application,Extraction Systems
Voltage,"220/415V"
Installation Services,Yes
Country of Origin,Made in India
Automation Grade,Semi Automatic
Material,SS316/SS304
Power Source,Electrical
Country of Origin,Made in India
Automation Grade,Semi Automatic
Material,SS316/SS304
Power Source,Electrical
Usage/Application,Extraction Systems
Voltage,"220/415V"
Installation Services,Yes
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Systems
Installation Services,Yes
Brand,Mech O Tech
Country of Origin,Made in India
Automation Grade,Semi Automatic
Material,SS316/SS304
Power Source,Electrical
Usage/Application,Extraction Systems
Voltage,"380/415V"
Installation Services,Yes
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Voltage,"380/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Warranty,"1 Year"
Driven Type,Automatic
Brand,Ocean International
Body Material,MS
Voltage,"380 V"
Country of Origin,Made in India
Automation Grade,Semi Automatic
Material,SS316/SS304
Power Source,Electrical
Usage/Application,Extraction Systems
Voltage,"380/415V"
Installation Services,Yes
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Automation Grade,Automatic
Frequency,"50Hz"
Power Consumption,"120kW"
Power Source,Electric
Voltage,"420 V"
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Power Consumption,"55kW"
Voltage,"420 V"
Frequency,"50Hz"
Automation Grade,Automatic
Frequency,"50Hz"
Power Consumption,"55kW"
Power Source,Electric
Frequency,"50Hz"
Power Consumption,"45kW"
Power Source,Electric
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Power Source,Electric
Frequency,"50Hz"
Power Consumption,"45kW"
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Installation Services,Yes
Brand,Mech O Tech
Frequency,"50Hz"
Power Consumption,"35kW"
Power Source,Electric
Installation Services,Yes
Brand,Mech O Tech
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"380/415V"
Usage/Application,Extraction Systems
Power Source,Electric
Frequency,"50Hz"
Power Consumption,"35kW"
Usage/Application,"Used for extraction of spices, herbals, alkaloids, natural colors and gums. We can supply any capaci"
Country of Origin,Made in India
Installation Services,Yes
Automation Grade,Semi Automatic
Voltage,"415 V"
Country of Origin,Made in India
Installation Services,Yes
Country of Origin,Made in India
Installation Services,Yes
Automation Grade,Automatic
Usage/Application,Industrial
Country of Origin,Made in India
Usage/Application,Industrial
Production Capacity,"100 kg/hr"
Automatic Grade,Automatic
Power,"2.2 kW"
Voltage,"230 v AC"
Installation Services,Yes
Body Material,SS
Frequency,"50 Hz"
Phase,Single
Material,"We  offer extruders for pvc , xlpe. ,pe,,nylon, pp,teflon coating in various sizes ranging 25 mm to 175 mm screw diameter"
Usage/Application,Industrial
Operation Mode,Automatic
Country of Origin,Made in India
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Material,MS
Automatic Grade,Automatic
Material,MS
Voltage,"380V"
Phase,Single Phase
Application,"solvent extraction plant ,cattle feed plant"
Brand,Supertechno
Installation Services,Yes
Brand,MECH O TECH
Automation Grade,Semi Automatic
Power Source,ELECTRICAL
Voltage,"220 / 380 / 415"
Installation Services,Yes
Installation Services,Yes
Brand,APOLLO
Voltage,"450"
Phase,"3"
Country of Origin,Made in India
Power,"3 phase"
Automation Grade,Semi Automatic
Material,SS316/SS304
Power Source,Electrical
Usage/Application,Extraction Systems
Voltage,"220/415V"
Installation Services,Yes
Country of Origin,Made in India
Automation Grade,Automatic
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Country of Origin,Made in India
Power Source,Electric
Automation Grade,Automatic
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X h )"
Country of Origin,Made in India
Power Source,Electric
Plastic Processed,Extruder
Brand,Ocean International
Frequency,"50Hz"
Automation Grade,Automatic
Power Consumption,"190kW"
Power Source,Electric
Country of Origin,Made in India
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Power Source,Electric
Production Capacity,"625 kg/h"
Frequency,"50Hz"
Power Consumption,"35kW"
Power Source,Electric
Automation Grade,Automatic
Size,"30 X 15 X 18 to 60 X 40 X 20 ( L X W X H )"
Country of Origin,Made in India
Power Source,Electric
Frequency,"50Hz"
Power Consumption,"45kW"
Machine Weight,"6 Ton"
Brand,Ocean International
Country of Origin,Made in India
Maintenance,No Maintenance
Voltage,"240 V"
Frequency,"50 Hz"
Power Source,Electric
Plastic Processed,Extruder
Color,"Blue, White, Gray"
Brand,Ocean International
Country of Origin,Made in India
Country of Origin,Made in India
Power Source,Electric
Overall Dimension,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Automation Grade,Automatic
Brand,Ocean International
Color,"Blue, White, Gray, Green"
Brand,Ocean International
Power Source,Electric
Color,"Blue, White, Gray"
Color,"Blue, White, Gray"
Brand,Ocean International
Power Source,Electric
Color,"Blue, White, Gray, Green"
Overall Dimension,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Automation Grade,Automatic
Brand,Ocean International
Color,"Blue, White, Gray, Green"
Overall Dimension,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Automation Grade,Automatic
Brand,Ocean International
Automation Grade,Automatic
Brand,Ocean Internatinal
Color,"Blue, White, Gray, Green"
Overall Dimension,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Color,"Blue, White, Gray, Green"
