Query,Key Match Count,Value Match Count,GT Unique Keys,Gemini Unique Keys,GT Unique Values,Gemini Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemini: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemini Only Keys
Linear Motor,1,1,2,2,1,1,50.0%,100.0%,linear motor - motor_type | product_type,linear motor - motor_type | type,motor type,linear motor,product type,type
Liquid Resistance Starter,0,0,4,3,1,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category,Liquid Resistance Starter - product_type | starter_type | lrs,,,application | category | product category | use,lrs | product type | starter type
Lubi Electrical Motor,3,1,5,5,2,2,60.0%,50.0%,lubi - brand | manufacturer | company |||| motor - motor_type | product_type,lubi - brand | manufacturer |||| electrical motor - product_type | category | type,brand | manufacturer | product type,lubi,company | motor type,category | type
Lubi LGH90GF50H15K Gare Motor,3,1,5,6,2,3,60.0%,50.0%,lubi - brand | manufacturer | company |||| motor - motor_type | product_type,Lubi - brand | manufacturer |||| LGH90GF50H15K - model_number | part_number |||| Gare Motor - motor_type | type,brand | manufacturer | motor type,lubi,company | product type,model number | part number | type
M S Hydraulic Motor,1,0,2,4,1,2,50.0%,0.0%,motor - motor_type | product_type,M S - brand | manufacturer |||| Hydraulic Motor - motor_type | type,motor type,,product type,brand | manufacturer | type
MGM Varvel Brake Motor,1,1,2,4,1,2,50.0%,100.0%,brake motor - motor_type | product_type,MGM Varvel - brand | manufacturer |||| Brake Motor - motor_type | type,motor type,brake motor,product type,brand | manufacturer | type
MIG PMDC MOTOR 24V/42V,2,0,4,6,3,3,50.0%,0.0%,dc motor - motor_type | product_type |||| 24v - voltage | supply_voltage |||| 42v - voltage | supply_voltage,MIG - brand | application |||| PMDC MOTOR - motor_type | type |||| 24V/42V - voltage | volt,motor type | voltage,,product type | supply voltage,application | brand | type | volt
MU2 Dol Motor Starter,1,0,4,6,2,3,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,MU2 - model | series |||| Dol - starter_type | type |||| Motor Starter - product_type | category,product type,,application | motor type | use,category | model | series | starter type | type
Make - Marathon 1hp motor single phase,7,3,10,9,4,4,70.0%,75.0%,marathon - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| single phase - phase | supply_phase,Marathon - brand | make | manufacturer |||| 1hp - horsepower | power | hp |||| motor - motor_type |||| single phase - phase | phase_type,brand | horsepower | hp | manufacturer | motor type | phase | power,marathon | motor | single phase,company | product type | supply phase,make | phase type
Makita 9047 Armature By PowerSpeed,0,0,5,0,2,0,0.0%,0.0%,mak - brand | manufacturer | company |||| armature - product_category | category,,,,brand | category | company | manufacturer | product category,
Makita HR-2440 Armature By PowerSpeed,3,2,8,8,3,4,37.5%,66.7%,mak - brand | manufacturer | company |||| HR-2440 - model_number | part_number | model |||| armature - product_category | category,Makita - compatible_brand | for_brand |||| HR-2440 - compatible_model | model |||| Armature - part_type | component |||| PowerSpeed - brand | manufacturer,brand | manufacturer | model,armature | hr-2440,category | company | model number | part number | product category,compatible brand | compatible model | component | for brand | part type
Makita MT-950 Armature By PowerSpeed,3,2,8,8,3,4,37.5%,66.7%,mak - brand | manufacturer | company |||| MT-950 - model_number | part_number | model |||| armature - product_category | category,Makita - compatible_brand | for_brand |||| MT-950 - model | compatible_model |||| Armature - part_type | spare_part |||| PowerSpeed - brand | manufacturer,brand | manufacturer | model,armature | mt-950,category | company | model number | part number | product category,compatible brand | compatible model | for brand | part type | spare part
Makita MT-958 Armature By PowerSpeed,3,2,8,8,3,4,37.5%,66.7%,mak - brand | manufacturer | company |||| MT-958 - model_number | part_number | model |||| armature - product_category | category,Makita - compatible_brand | for_brand |||| MT-958 - model | compatible_model |||| Armature - part_type | component |||| PowerSpeed - brand | manufacturer,brand | manufacturer | model,armature | mt-958,category | company | model number | part number | product category,compatible brand | compatible model | component | for brand | part type
Marathon 1hp motor single phase,7,3,10,8,4,4,70.0%,75.0%,marathon - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| single phase - phase | supply_phase,Marathon - brand | manufacturer |||| 1hp - horsepower | power | hp |||| motor - motor_type |||| single phase - phase | phase_type,brand | horsepower | hp | manufacturer | motor type | phase | power,marathon | motor | single phase,company | product type | supply phase,phase type
Marathon Electric Motor,4,1,5,5,2,2,80.0%,50.0%,marathon - brand | manufacturer | company |||| motor - motor_type | product_type,Marathon Electric - brand | manufacturer | company |||| Motor - product_type | type,brand | company | manufacturer | product type,motor,motor type,type
Marsh Actuators,1,0,4,4,1,2,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Marsh - brand | manufacturer |||| Actuators - product_type | category,category,,application | product category | use,brand | manufacturer | product type
Mdt Knx Actuator Automation Products Dealer,4,2,7,10,3,5,57.1%,66.7%,mdt - brand | manufacturer | company |||| actuator - application | use |||| actuator - product_category | category |||| automation - product_category | category,mdt - brand | manufacturer |||| knx - protocol | communication |||| actuator - product_type | device_type |||| automation products - category | application |||| dealer - business_type | supplier_type,application | brand | category | manufacturer,actuator | mdt,company | product category | use,business type | communication | device type | product type | protocol | supplier type
Micromotor,1,0,2,3,1,1,50.0%,0.0%,miniature - product_category | category,micromotor - motor_type | type | category,category,,product category,motor type | type
Minas A6 Panasonic  Servo Motor & Driver,3,1,5,7,2,3,60.0%,50.0%,panasonic - brand | manufacturer | company |||| servo motor - motor_type | product_type,Minas A6 - series | model_series |||| Panasonic - brand | manufacturer |||| Servo Motor & Driver - product_type | component | kit,brand | manufacturer | product type,panasonic,company | motor type,component | kit | model series | series
Mini Fan Motor,1,1,4,4,2,2,25.0%,50.0%,fan motor - motor_type | product_type |||| fan - application | use,mini - size | form_factor |||| fan motor - application | type,application,fan motor,motor type | product type | use,form factor | size | type
Mini Solenoid Switches,1,0,4,5,3,2,25.0%,0.0%,solenoid - application | use |||| solenoid - product_category | category |||| switch - product_category | category |||| miniature - product_category | category,mini - size | form_factor |||| solenoid switches - product_type | type | category,category,,application | product category | use,form factor | product type | size | type
Mitsubishi Servo Motors,3,1,5,4,2,2,60.0%,50.0%,mitsubishi - brand | manufacturer | company |||| servo motor - motor_type | product_type,Mitsubishi - brand | manufacturer |||| Servo Motors - motor_type | servo,brand | manufacturer | motor type,mitsubishi,company | product type,servo
Mixer Grinder Motor,3,1,4,3,2,2,75.0%,50.0%,motor - motor_type | product_type |||| mixer - application | use,mixer grinder - application | use |||| motor - motor_type,application | motor type | use,motor,product type,
Mk 1 Dol Starter,0,0,4,5,1,2,0.0%,0.0%,starter - application | use |||| starter - product_category | category,Mk 1 - model | series |||| Dol Starter - starter_type | type | product_type,,,application | category | product category | use,model | product type | series | starter type | type
Ml 2 Dol Starter,1,1,4,5,1,3,25.0%,100.0%,starter - application | use |||| starter - product_category | category,ml 2 - model | series |||| dol starter - starter_type | type | application,application,starter,category | product category | use,model | series | starter type | type
Mobile Starter,2,0,4,3,1,1,50.0%,0.0%,starter - application | use |||| starter - product_category | category,mobile starter - product_type | category | application,application | category,,product category | use,product type
Mobile Starter Prime,1,0,4,4,1,2,25.0%,0.0%,starter - application | use |||| starter - product_category | category,Mobile Starter - product_type | category |||| Prime - model | series,category,,application | product category | use,model | product type | series
Mobile+Starter+Prime,1,0,4,4,1,2,25.0%,0.0%,starter - application | use |||| starter - product_category | category,Mobile Starter - product_type | category |||| Prime - model | series,category,,application | product category | use,model | product type | series
Motar Starter,1,0,4,3,2,1,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,motar starter - product_type | category | type,product type,,application | motor type | use,category | type
Moter stater,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,motor starter - product_type | category | type,product type,,motor type,category | type
Motor,1,1,2,2,1,1,50.0%,100.0%,motor - motor_type | product_type,Motor - product_type | category,product type,motor,motor type,category
Motor 160kw,4,1,5,5,2,2,80.0%,50.0%,motor - motor_type | product_type |||| 160 kw - power | kilowatt | wattage,motor - motor_type | product |||| 160kw - power | wattage | kilowatt,kilowatt | motor type | power | wattage,motor,product type,product
Motor Automatic Switch,1,1,2,4,1,2,50.0%,100.0%,motor - motor_type | product_type,Automatic Switch - product_type | category |||| Motor - application | use,product type,motor,motor type,application | category | use
Motor Brakes,0,0,2,3,1,1,0.0%,0.0%,motor - motor_type | product_type,motor brakes - product_category | category | type,,,motor type | product type,category | product category | type
Motor Carbon Brushes,3,1,4,4,2,2,75.0%,50.0%,motor - motor_type | product_type |||| automotive - application | use,carbon brushes - product_type | part |||| motor - application | use,application | product type | use,motor,motor type,part
Motor Cover,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,motor cover - product_type | category | item,product type,,motor type,category | item
Motor Encoder,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,motor encoder - product_type | category | component,product type,,motor type,category | component
Motor Lamination V-3 70-41-22,1,0,2,6,1,3,50.0%,0.0%,motor - motor_type | product_type,Motor Lamination - product_type | category |||| V-3 - model | grade |||| 70-41-22 - dimensions | size,product type,,motor type,category | dimensions | grade | model | size
Motor Lamination V-4,1,0,2,5,1,2,50.0%,0.0%,motor - motor_type | product_type,motor lamination - product_type | component |||| v-4 - model | type | grade,product type,,motor type,component | grade | model | type
Motor Lamination V-6,1,0,2,4,1,2,50.0%,0.0%,motor - motor_type | product_type,motor lamination - product_type | component |||| v-6 - model | type,product type,,motor type,component | model | type
Motor Parts,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,motor parts - category | product_type | type,product type,,motor type,category | type
Motor Plate,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,motor plate - product_type | component | category,product type,,motor type,category | component
Motor Rotor,0,0,2,3,1,1,0.0%,0.0%,motor - motor_type | product_type,motor rotor - part_type | component | spare_part,,,motor type | product type,component | part type | spare part
Motor Starter,1,0,4,3,2,1,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,Motor Starter - product_type | category | type,product type,,application | motor type | use,category | type
Motor Starter .,1,0,4,3,2,1,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,Motor Starter - product_type | category | type,product type,,application | motor type | use,category | type
Motor Stater,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,motor stater - product_type | category | type,product type,,motor type,category | type
Motor Terminal Plate,0,0,2,3,1,1,0.0%,0.0%,motor - motor_type | product_type,motor terminal plate - product_name | part_name | component,,,motor type | product type,component | part name | product name
Motorized Actuators,1,0,4,3,1,1,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category,motorized actuators - product_type | category | type,category,,application | product category | use,product type | type
Motors,1,0,2,2,1,1,50.0%,0.0%,motor - motor_type | product_type,Motors - category | product_type,product type,,motor type,category
Moving Magnetic Linear Motor,1,0,2,3,1,1,50.0%,0.0%,linear motor - motor_type | product_type,Moving Magnetic Linear Motor - motor_type | linear_motor_type | technology,motor type,,product type,linear motor type | technology
Nebulizer Compressor Motor,3,0,4,3,2,2,75.0%,0.0%,compressor motor - motor_type | product_type |||| compressor - application | use,nebulizer compressor - application | use |||| motor - motor_type,application | motor type | use,,product type,
New Series Allen Bradley Soft Starter,4,1,9,6,3,3,44.4%,33.3%,allen bradley - brand | manufacturer | company |||| starter - application | use |||| new - condition | product_condition |||| starter - product_category | category,New Series - condition | series |||| Allen Bradley - brand | manufacturer |||| Soft Starter - product_type | category,brand | category | condition | manufacturer,allen bradley,application | company | product category | product condition | use,product type | series
Non Electric Motor,1,0,2,2,1,1,50.0%,0.0%,motor - motor_type | product_type,Non Electric Motor - motor_type | type,motor type,,product type,type
Nxu Gear Brake Motor In Pune,2,0,2,6,1,3,100.0%,0.0%,brake motor - motor_type | product_type,Nxu - brand | manufacturer |||| Gear Brake Motor - product_type | motor_type |||| Pune - location | city,motor type | product type,,,brand | city | location | manufacturer
Oil Starter Magnet Call,2,0,4,5,2,2,50.0%,0.0%,starter - application | use |||| starter - product_category | category |||| magnet - product_category | category,oil starter - application | use |||| magnet coil - part_name | component | coil_type,application | use,,category | product category,coil type | component | part name
Ola motot,0,0,2,4,1,2,0.0%,0.0%,automotive - application | use,Ola - brand | manufacturer |||| motor - product_type | type,,,application | use,brand | manufacturer | product type | type
Omp Series Orbital Motors,1,0,2,5,1,2,50.0%,0.0%,motor - motor_type | product_type,Omp Series - series | model_series |||| Orbital Motors - motor_type | type | hydraulic_motor,motor type,,product type,hydraulic motor | model series | series | type
Openable Gate Motor,1,1,2,3,1,2,50.0%,100.0%,motor - motor_type | product_type,openable gate - application | gate_type |||| motor - product_type,product type,motor,motor type,application | gate type
Oriental motor,3,1,5,3,2,1,60.0%,50.0%,oriental motor - brand | manufacturer | company |||| motor - motor_type | product_type,Oriental motor - brand | manufacturer | company,brand | company | manufacturer,oriental motor,motor type | product type,
PANASONIC MOTOR,5,2,5,5,2,2,100.0%,100.0%,panasonic - brand | manufacturer | company |||| motor - motor_type | product_type,panasonic - brand | manufacturer | company |||| motor - motor_type | product_type,brand | company | manufacturer | motor type | product type,motor | panasonic,,
PBL Geared Motors,4,1,5,5,2,2,80.0%,50.0%,pbl - brand | manufacturer | company |||| gear motor - motor_type | product_type,PBL - brand | manufacturer |||| Geared Motors - product_type | motor_type | type,brand | manufacturer | motor type | product type,pbl,company,type
PDA Sliding Gate Motor,1,0,2,5,1,2,50.0%,0.0%,motor - motor_type | product_type,pda - brand | manufacturer |||| sliding gate motor - application | use | product_type,product type,,motor type,application | brand | manufacturer | use
Panasonic AC Servo Motor,3,1,7,5,3,2,42.9%,33.3%,panasonic - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| ac - current_type | supply_type,Panasonic - brand | manufacturer |||| AC Servo Motor - motor_type | servo | type,brand | manufacturer | motor type,panasonic,company | current type | product type | supply type,servo | type
Panasonic Geared Motor,3,1,5,5,2,3,60.0%,50.0%,panasonic - brand | manufacturer | company |||| gear motor - motor_type | product_type,Panasonic - brand | manufacturer |||| Geared Motor - motor_type | type | feature,brand | manufacturer | motor type,panasonic,company | product type,feature | type
Panasonic Servo Motor MHMF042L1U2M  400Watt,7,3,10,8,4,4,70.0%,75.0%,panasonic - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 400 w - power | wattage |||| MHMF042L1U2M - model_number | part_number | model,Panasonic - brand | manufacturer |||| Servo Motor - motor_type | servo |||| MHMF042L1U2M - model_number | part_number |||| 400Watt - power | wattage,brand | manufacturer | model number | motor type | part number | power | wattage,mhmf042l1u2m | panasonic | servo motor,company | model | product type,servo
Paragon Motor Starter,1,0,4,5,2,2,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,Paragon - brand | manufacturer |||| Motor Starter - product_type | category | type,product type,,application | motor type | use,brand | category | manufacturer | type
Permanent Magnet. tech,0,0,2,4,1,2,0.0%,0.0%,magnet - product_category | category,Permanent Magnet - motor_type | technology |||| tech - brand | manufacturer,,,category | product category,brand | manufacturer | motor type | technology
Petrosa Starter medium,0,1,4,5,1,3,0.0%,100.0%,starter - application | use |||| starter - product_category | category,Petrosa - brand |||| Starter - product_type | type |||| medium - size | capacity,,starter,application | category | product category | use,brand | capacity | product type | size | type
Petrosa Starter medium 200 Grams,0,1,4,8,1,4,0.0%,100.0%,starter - application | use |||| starter - product_category | category,Petrosa - brand | manufacturer |||| Starter - product_type | type |||| medium - size | variant |||| 200 Grams - weight | quantity,,starter,application | category | product category | use,brand | manufacturer | product type | quantity | size | type | variant | weight
Petrosa starter mini 1 KG,0,1,4,7,2,4,0.0%,50.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,Petrosa - brand |||| starter - product_type | type |||| mini - size | form_factor |||| 1 KG - weight | capacity,,starter,application | category | product category | use,brand | capacity | form factor | product type | size | type | weight
Petrosa starter mini 1KG,0,1,4,7,2,4,0.0%,50.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,petrosa - brand |||| starter - product_type | type |||| mini - size | variant |||| 1kg - weight | capacity,,starter,application | category | product category | use,brand | capacity | product type | size | type | variant | weight
Petrosa starter mini 3 KG,0,1,4,7,2,4,0.0%,50.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,Petrosa - brand |||| starter - product_type | type |||| mini - size | form_factor |||| 3 KG - weight | capacity,,starter,application | category | product category | use,brand | capacity | form factor | product type | size | type | weight
Petrosa starter mini 3KG,0,1,4,7,2,4,0.0%,50.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,Petrosa - brand |||| starter - product_type | type |||| mini - size | form_factor |||| 3KG - weight | capacity,,starter,application | category | product category | use,brand | capacity | form factor | product type | size | type | weight
Petrosa starter mini 8 KG,0,1,4,7,2,4,0.0%,50.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,Petrosa - brand |||| starter - type | product_type |||| mini - size | variant |||| 8 KG - weight | capacity,,starter,application | category | product category | use,brand | capacity | product type | size | type | variant | weight
Petrosa starter mini 8KG,0,1,4,7,2,4,0.0%,50.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,Petrosa - brand |||| starter - product_type | type |||| mini - size | form_factor |||| 8KG - weight | capacity,,starter,application | category | product category | use,brand | capacity | form factor | product type | size | type | weight
Piston Nebulizer Motor,1,1,2,5,1,3,50.0%,100.0%,motor - motor_type | product_type,piston - type | mechanism |||| nebulizer - application | use |||| motor - motor_type,motor type,motor,product type,application | mechanism | type | use
Planetary Gear Motor,1,0,2,3,1,2,50.0%,0.0%,gear motor - motor_type | product_type,Planetary Gear Motor - motor_type |||| Planetary Gear - gear_type | gearbox,motor type,,product type,gear type | gearbox
Pmdc Stirrer Motor,1,0,2,4,1,2,50.0%,0.0%,motor - motor_type | product_type,pmdc - motor_type | type |||| stirrer motor - application | use,motor type,,product type,application | type | use
Pneumatic Actuators,1,1,4,4,2,2,25.0%,50.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,pneumatic actuators - product_type | category |||| pneumatic - actuator_type | power_source,category,pneumatic,application | product category | use,actuator type | power source | product type
Pneumatic Actuatos,1,0,4,3,2,1,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,pneumatic actuatos - product_type | category | type,category,,application | product category | use,product type | type
Pneumatic Diaphragm Actuator,0,2,4,6,2,3,0.0%,100.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,pneumatic - actuation_type | power_source |||| diaphragm - type | design |||| actuator - product_type | device,,actuator | pneumatic,application | category | product category | use,actuation type | design | device | power source | product type | type
Pneumatic Rotary Actuator,0,2,4,6,2,3,0.0%,100.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,pneumatic - actuator_type | power_source |||| rotary - motion_type | movement |||| actuator - device_type | component,,actuator | pneumatic,application | category | product category | use,actuator type | component | device type | motion type | movement | power source
Pneumatic Rotary Actuators,1,1,4,6,2,3,25.0%,50.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,actuators - product_type | category |||| pneumatic - actuation_type | power_source |||| rotary - motion_type | movement,category,pneumatic,application | product category | use,actuation type | motion type | movement | power source | product type
PowerSpeed Armature For 9005 N Makita,0,1,2,8,1,4,0.0%,100.0%,armature - product_category | category,powerspeed - brand | manufacturer |||| armature - part_name | product_type |||| 9005 n - compatible_model | model |||| makita - compatible_brand | for_brand,,armature,category | product category,brand | compatible brand | compatible model | for brand | manufacturer | model | part name | product type
PowerSpeed Armature For Makita 3501 N,0,1,2,8,1,4,0.0%,100.0%,armature - product_category | category,PowerSpeed - brand | manufacturer |||| Armature - part_type | component |||| Makita - compatible_brand | for_brand |||| 3501 N - compatible_model | model,,armature,category | product category,brand | compatible brand | compatible model | component | for brand | manufacturer | model | part type
PowerSpeed Armature For Makita 9500 NB,0,1,2,8,1,4,0.0%,100.0%,armature - product_category | category,PowerSpeed - brand | manufacturer |||| Armature - part_type | component |||| Makita - compatible_brand | for_brand |||| 9500 NB - compatible_model | model,,armature,category | product category,brand | compatible brand | compatible model | component | for brand | manufacturer | model | part type
PowerSpeed Armature for Gsh-500 Bosch,2,2,5,8,2,4,40.0%,100.0%,bosch - brand | manufacturer | company |||| armature - product_category | category,PowerSpeed - brand | manufacturer |||| Armature - part_name | product_type |||| Gsh-500 - compatible_model | model |||| Bosch - compatible_brand | for_brand,brand | manufacturer,armature | bosch,category | company | product category,compatible brand | compatible model | for brand | model | part name | product type
Printer Solenoid Switch,2,1,4,5,3,3,50.0%,33.3%,printing - application | use |||| solenoid - application | use |||| solenoid - product_category | category |||| switch - product_category | category,printer - application | use |||| solenoid switch - component_type | part_type | switch_type,application | use,solenoid,category | product category,component type | part type | switch type
R. S. Series Geared Motors,1,0,2,4,1,2,50.0%,0.0%,gear motor - motor_type | product_type,R. S. Series - series | model_series |||| Geared Motors - motor_type | type,motor type,,product type,model series | series | type
RC Car Brushless ESC Platinum Edition 120A,1,2,4,11,3,5,25.0%,66.7%,rc car - application | use |||| automotive - application | use |||| esc - product_category | category,RC Car - application | vehicle_type |||| Brushless - technology | motor_compatibility |||| ESC - product_type | component |||| Platinum Edition - series | edition |||| 120A - amperage | current | amp_rating,application,esc | rc car,category | product category | use,amp rating | amperage | component | current | edition | motor compatibility | product type | series | technology | vehicle type
RPG15Q Motor,1,1,5,5,2,2,20.0%,50.0%,rpg - brand | manufacturer | company |||| motor - motor_type | product_type,RPG15Q - model_number | part_number | mpn |||| Motor - product_type | type,product type,motor,brand | company | manufacturer | motor type,model number | mpn | part number | type
Rawat+Induction+Motors,1,0,2,4,1,2,50.0%,0.0%,induction motor - motor_type | product_type,Rawat - brand | manufacturer |||| Induction Motors - motor_type | type,motor type,,product type,brand | manufacturer | type
Refrigerator Motor,1,1,2,4,1,2,50.0%,100.0%,motor - motor_type | product_type,refrigerator - application | use | appliance |||| motor - motor_type,motor type,motor,product type,appliance | application | use
Remi Centrifuge Carbon Brush,3,1,7,7,3,3,42.9%,33.3%,remi - brand | manufacturer | company |||| automotive - application | use |||| brush - product_category | category,remi - brand | manufacturer |||| centrifuge - application | machine_type |||| carbon brush - product_type | part_type | component,application | brand | manufacturer,remi,category | company | product category | use,component | machine type | part type | product type
Remi Centrifuge Carbon Brushes,3,1,7,7,3,3,42.9%,33.3%,remi - brand | manufacturer | company |||| automotive - application | use |||| brush - product_category | category,remi - brand | manufacturer |||| centrifuge - application | machine_type |||| carbon brushes - product_type | part_type | component,application | brand | manufacturer,remi,category | company | product category | use,component | machine type | part type | product type
Remi Geared Motor,3,1,5,4,2,2,60.0%,50.0%,remi - brand | manufacturer | company |||| gear motor - motor_type | product_type,remi - brand | manufacturer |||| geared motor - motor_type | type,brand | manufacturer | motor type,remi,company | product type,type
Rexroth A2Fo180,0,0,0,5,0,2,N/A,N/A,,Rexroth - brand | manufacturer |||| A2Fo180 - model | series | part_number,,,,brand | manufacturer | model | part number | series
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,0,0,9,0,4,0,0.0%,0.0%,gear motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| 30 rpm - speed | rpm | rated_speed |||| dc - current_type | supply_type,,,,current type | motor type | product type | rated speed | rpm | speed | supply type | supply voltage | voltage,
Rhino+12V+DC+30RPM+70Kgcm+IG32+Heavy+Duty+Planetary+Geared+Motor,5,2,9,14,4,8,55.6%,50.0%,gear motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| 30 rpm - speed | rpm | rated_speed |||| dc - current_type | supply_type,rhino - brand |||| 12v - voltage | volt |||| dc - current_type |||| 30rpm - rpm | speed |||| 70kgcm - torque | load_torque |||| ig32 - model | series |||| heavy duty - grade | feature |||| planetary geared motor - motor_type | gearbox_type,current type | motor type | rpm | speed | voltage,12v | dc,product type | rated speed | supply type | supply voltage,brand | feature | gearbox type | grade | load torque | model | series | torque | volt
Rolling Shutter Motor,1,0,2,3,1,2,50.0%,0.0%,motor - motor_type | product_type,rolling shutter - application | motor_type | use,motor type,,product type,application | use
Rotomotive Induction Motor 3 Phase,4,2,7,6,3,3,57.1%,66.7%,rotomotive - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| three phase - phase | supply_phase,Rotomotive - brand | manufacturer |||| Induction Motor - motor_type | type |||| 3 Phase - phase | phase_type,brand | manufacturer | motor type | phase,induction motor | rotomotive,company | product type | supply phase,phase type | type
Rotork Yt 3300 Smart Positioner,1,0,4,7,1,3,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Rotork - brand | manufacturer |||| Yt 3300 - model | model_number |||| Smart Positioner - product_type | type | category,category,,application | product category | use,brand | manufacturer | model | model number | product type | type
SECO N 24 25 Single Chain Actuator,0,0,4,5,1,3,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,SECO - brand |||| N 24 25 - model | series |||| Single Chain Actuator - actuator_type | type,,,application | category | product category | use,actuator type | brand | model | series | type
SIEMENS 1FL6064-1AC61-2LA1 SIMOTICS S-1FL6-1FL6 Operating voltage 3AC 400 V,5,2,8,11,4,5,62.5%,50.0%,siemens - brand | manufacturer | company |||| 400v - voltage | supply_voltage |||| 3v - voltage | supply_voltage |||| 1FL6064-1AC61-2LA1 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| 1FL6064-1AC61-2LA1 - part_number | model_number |||| SIMOTICS S-1FL6-1FL6 - product_series | series |||| 400 V - voltage | operating_voltage | volt |||| 3AC - phase | current_type,brand | manufacturer | model number | part number | voltage,1fl6064-1ac61-2la1 | siemens,company | model | supply voltage,current type | operating voltage | phase | product series | series | volt
SIEMENS 1LE7501‑1BB23‑5AA4,4,1,6,5,2,2,66.7%,50.0%,siemens - brand | manufacturer | company |||| 1LE7501 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| 1LE7501‑1BB23‑5AA4 - part_number | model_number | mpn,brand | manufacturer | model number | part number,siemens,company | model,mpn
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-5AF00-1SB0 0.75 kW,8,4,11,11,4,5,72.7%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.75 kw - power | kilowatt | wattage |||| 1FK2104-5AF00-1SB0 - model_number | part_number | model,siemens - brand | manufacturer |||| simotics s-1fk2 - series | product_family |||| servo motor - motor_type | type |||| 1FK2104-5AF00-1SB0 - part_number | model_number |||| 0.75 kw - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,0.75 kw | 1fk2104-5af00-1sb0 | servo motor | siemens,company | model | product type,product family | series | type
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,5,3,8,9,3,4,62.5%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF01-1MB0 - model_number | part_number | model,siemens - brand | manufacturer |||| simotics s-1fk2 - series | product_family |||| servo motor - motor_type | servo |||| 1FK2104-6AF01-1MB0 - part_number | model_number | mpn,brand | manufacturer | model number | motor type | part number,1fk2104-6af01-1mb0 | servo motor | siemens,company | model | product type,mpn | product family | series | servo
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,8,4,11,11,4,5,72.7%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF01-1MB0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | product_family |||| SERVO MOTOR - motor_type | type |||| 1FK2104-6AF01-1MB0 - part_number | model_number |||| 1 kW - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,1 kw | 1fk2104-6af01-1mb0 | servo motor | siemens,company | model | product type,product family | series | type
