Query,Key Match Count,Value Match Count,GT Unique Keys,QMeans Unique Keys,GT Unique Values,QMeans Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),QMeans: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,QMeans Only Keys
Marsh Actuators,0,0,4,2,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,actuators - product |||| marsh - brand,,,application | category | product category | use,brand | product
Mdt Knx Actuator Automation Products Dealer,1,1,7,4,3,4,14.3%,33.3%,mdt - brand | manufacturer | company |||| actuator - application | use |||| actuator - product_category | category |||| automation - product_category | category,actuator automation - product |||| dealer - business type |||| knx - model name/number |||| mdt - brand,brand,mdt,application | category | company | manufacturer | product category | use,business type | model name/number | product
Micromotor,0,0,2,0,1,0,0.0%,0.0%,miniature - product_category | category,,,,category | product category,
Minas A6 Panasonic  Servo Motor & Driver,1,1,5,3,2,3,20.0%,50.0%,panasonic - brand | manufacturer | company |||| servo motor - motor_type | product_type,minas a6 - model name/number |||| panasonic - brand |||| servo motor & driver - product,brand,panasonic,company | manufacturer | motor type | product type,model name/number | product
Mini Fan Motor,0,1,4,2,2,2,0.0%,50.0%,fan motor - motor_type | product_type |||| fan - application | use,fan - usage |||| mini - size,,fan,application | motor type | product type | use,size | usage
Mini Solenoid Switches,0,0,4,2,3,2,0.0%,0.0%,solenoid - application | use |||| solenoid - product_category | category |||| switch - product_category | category |||| miniature - product_category | category,mini - size |||| solenoid switches - product,,,application | category | product category | use,product | size
Mitsubishi Servo Motors,1,1,5,1,2,1,20.0%,50.0%,mitsubishi - brand | manufacturer | company |||| servo motor - motor_type | product_type,mitsubishi - brand,brand,mitsubishi,company | manufacturer | motor type | product type,
Mixer Grinder Motor,0,1,4,2,2,2,0.0%,50.0%,motor - motor_type | product_type |||| mixer - application | use,mixer grinder - usage |||| motor - part type,,motor,application | motor type | product type | use,part type | usage
Mk 1 Dol Starter,0,0,4,2,1,2,0.0%,0.0%,starter - application | use |||| starter - product_category | category,dol - starter type |||| mk 1 - model name/number,,,application | category | product category | use,model name/number | starter type
Ml 2 Dol Starter,0,0,4,2,1,2,0.0%,0.0%,starter - application | use |||| starter - product_category | category,dol - starter type |||| ml 2 - model name/number,,,application | category | product category | use,model name/number | starter type
Mobile Starter,0,1,4,1,1,1,0.0%,100.0%,starter - application | use |||| starter - product_category | category,starter - feeder type,,starter,application | category | product category | use,feeder type
Mobile Starter Prime,0,0,4,1,1,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category,prime - model name/number,,,application | category | product category | use,model name/number
Mobile+Starter+Prime,0,0,4,0,1,0,0.0%,0.0%,starter - application | use |||| starter - product_category | category,,,,application | category | product category | use,
Motar Starter,0,1,4,1,2,1,0.0%,50.0%,motor - motor_type | product_type |||| starter - application | use,starter - feeder type,,starter,application | motor type | product type | use,feeder type
Moter stater,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
Motor,0,1,2,1,1,1,0.0%,100.0%,motor - motor_type | product_type,motor - part type,,motor,motor type | product type,part type
Motor 160kw,1,1,5,2,2,2,20.0%,50.0%,motor - motor_type | product_type |||| 160 kw - power | kilowatt | wattage,160kw - power |||| motor - part type,power,motor,kilowatt | motor type | product type | wattage,part type
Motor Automatic Switch,0,1,2,3,1,3,0.0%,100.0%,motor - motor_type | product_type,automatic - switch operation |||| motor - usage |||| switch - product,,motor,motor type | product type,product | switch operation | usage
Motor Brakes,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
Motor Carbon Brushes,0,1,4,2,2,2,0.0%,50.0%,motor - motor_type | product_type |||| automotive - application | use,carbon brushes - product |||| motor - usage,,motor,application | motor type | product type | use,product | usage
Motor Cover,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,cover - motor part type,,,motor type | product type,motor part type
Motor Encoder,0,1,2,2,1,2,0.0%,100.0%,motor - motor_type | product_type,encoder - product |||| motor - usage,,motor,motor type | product type,product | usage
Motor Lamination V-3 70-41-22,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
Motor Parts,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
Motor Plate,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,plate - motor part type,,,motor type | product type,motor part type
Motor Rotor,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,rotor - motor part type,,,motor type | product type,motor part type
Motor Starter,0,1,4,1,2,1,0.0%,50.0%,motor - motor_type | product_type |||| starter - application | use,motor - usage,,motor,application | motor type | product type | use,usage
Motor Starter .,0,1,4,1,2,1,0.0%,50.0%,motor - motor_type | product_type |||| starter - application | use,motor - usage,,motor,application | motor type | product type | use,usage
Motor Stater,0,1,2,1,1,1,0.0%,100.0%,motor - motor_type | product_type,motor - usage,,motor,motor type | product type,usage
Motor Terminal Plate,0,1,2,2,1,2,0.0%,100.0%,motor - motor_type | product_type,motor - usage |||| terminal plate - motor part type,,motor,motor type | product type,motor part type | usage
Motorized Actuators,0,0,4,1,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,motorized - actuator type,,,application | category | product category | use,actuator type
Motors,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
Moving Magnetic Linear Motor,1,0,2,1,1,1,50.0%,0.0%,linear motor - motor_type | product_type,linear - motor type,motor type,,product type,
Nebulizer Compressor Motor,0,1,4,2,2,2,0.0%,50.0%,compressor motor - motor_type | product_type |||| compressor - application | use,compressor motor - spare type |||| nebulizer - usage,,compressor motor,application | motor type | product type | use,spare type | usage
New Series Allen Bradley Soft Starter,1,1,9,2,3,2,11.1%,33.3%,allen bradley - brand | manufacturer | company |||| starter - application | use |||| new - condition | product_condition |||| starter - product_category | category,allen bradley - brand |||| soft starter - starter type,brand,allen bradley,application | category | company | condition | manufacturer | product category | product condition | use,starter type
Non Electric Motor,0,1,2,2,1,2,0.0%,100.0%,motor - motor_type | product_type,motor - part type |||| non electric - power source,,motor,motor type | product type,part type | power source
Nxu Gear Brake Motor In Pune,1,0,2,1,1,1,50.0%,0.0%,brake motor - motor_type | product_type,gear brake motor - motor type,motor type,,product type,
Oil Starter Magnet Call,0,0,4,1,2,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| magnet - product_category | category,oil - usage,,,application | category | product category | use,usage
Ola motot,0,0,2,1,1,1,0.0%,0.0%,automotive - application | use,ola - brand,,,application | use,brand
Omp Series Orbital Motors,1,0,2,2,1,2,50.0%,0.0%,motor - motor_type | product_type,omp series - model name/number |||| orbital - motor type,motor type,,product type,model name/number
Openable Gate Motor,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,gate - usage,,,motor type | product type,usage
Oriental motor,1,1,5,2,2,2,20.0%,50.0%,oriental motor - brand | manufacturer | company |||| motor - motor_type | product_type,motor - part type |||| oriental - brand,brand,motor,company | manufacturer | motor type | product type,part type
PANASONIC MOTOR,1,2,5,2,2,2,20.0%,100.0%,panasonic - brand | manufacturer | company |||| motor - motor_type | product_type,motor - part type |||| panasonic - brand,brand,motor | panasonic,company | manufacturer | motor type | product type,part type
PBL Geared Motors,1,1,5,1,2,1,20.0%,50.0%,pbl - brand | manufacturer | company |||| gear motor - motor_type | product_type,pbl - brand,brand,pbl,company | manufacturer | motor type | product type,
PDA Sliding Gate Motor,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,sliding gate - usage,,,motor type | product type,usage
Panasonic AC Servo Motor,2,2,7,3,3,3,28.6%,66.7%,panasonic - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| ac - current_type | supply_type,ac - motor type |||| panasonic - brand |||| servo - usage,brand | motor type,ac | panasonic,company | current type | manufacturer | product type | supply type,usage
Panasonic Geared Motor,1,1,5,1,2,1,20.0%,50.0%,panasonic - brand | manufacturer | company |||| gear motor - motor_type | product_type,panasonic - brand,brand,panasonic,company | manufacturer | motor type | product type,
Panasonic Servo Motor MHMF042L1U2M  400Watt,2,3,10,4,4,4,20.0%,75.0%,panasonic - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 400 w - power | wattage |||| MHMF042L1U2M - model_number | part_number | model,400watt - power |||| mhmf042l1u2m - model name/number |||| panasonic - brand |||| servo motor - usage,brand | power,mhmf042l1u2m | panasonic | servo motor,company | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
Paragon Motor Starter,0,0,4,2,2,2,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,motor starter - usage |||| paragon - brand,,,application | motor type | product type | use,brand | usage
Permanent Magnet. tech,0,0,2,2,1,2,0.0%,0.0%,magnet - product_category | category,magnet. - material |||| permanent - magnets type,,,category | product category,magnets type | material
Petrosa Starter medium,0,1,4,2,1,2,0.0%,100.0%,starter - application | use |||| starter - product_category | category,medium - size |||| starter - feeder type,,starter,application | category | product category | use,feeder type | size
Petrosa Starter medium 200 Grams,0,0,4,1,1,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category,medium 200 grams - size,,,application | category | product category | use,size
Petrosa starter mini 1 KG,0,0,4,1,2,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,1 kg - packaging size,,,application | category | product category | use,packaging size
Petrosa starter mini 1KG,0,0,4,1,2,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,1kg - packaging size,,,application | category | product category | use,packaging size
Petrosa starter mini 3 KG,0,0,4,1,2,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,3 kg - packaging size,,,application | category | product category | use,packaging size
Petrosa starter mini 3KG,0,0,4,1,2,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,3kg - packaging size,,,application | category | product category | use,packaging size
Petrosa starter mini 8 KG,0,0,4,1,2,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,8 kg - packaging size,,,application | category | product category | use,packaging size
Petrosa starter mini 8KG,0,0,4,1,2,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,8kg - packaging size,,,application | category | product category | use,packaging size
Piston Nebulizer Motor,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,nebulizer motor - product |||| piston - compressor type,,,motor type | product type,compressor type | product
Planetary Gear Motor,0,0,2,0,1,0,0.0%,0.0%,gear motor - motor_type | product_type,,,,motor type | product type,
Pmdc Stirrer Motor,1,0,2,2,1,2,50.0%,0.0%,motor - motor_type | product_type,pmdc - motor type |||| stirrer - usage,motor type,,product type,usage
Pneumatic Actuators,0,1,4,1,2,1,0.0%,50.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,pneumatic - actuator type,,pneumatic,application | category | product category | use,actuator type
Pneumatic Actuatos,0,1,4,1,2,1,0.0%,50.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,pneumatic - power source,,pneumatic,application | category | product category | use,power source
Pneumatic Diaphragm Actuator,0,1,4,2,2,2,0.0%,50.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,diaphragm - actuator type |||| pneumatic - power source,,pneumatic,application | category | product category | use,actuator type | power source
Pneumatic Rotary Actuator,0,1,4,2,2,2,0.0%,50.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,pneumatic - power source |||| rotary actuator - actuator type,,pneumatic,application | category | product category | use,actuator type | power source
Pneumatic Rotary Actuators,0,0,4,0,2,0,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,,,,application | category | product category | use,
PowerSpeed Armature For 9005 N Makita,0,1,2,3,1,3,0.0%,100.0%,armature - product_category | category,9005 n - model number |||| armature - type of power tool |||| powerspeed - brand,,armature,category | product category,brand | model number | type of power tool
PowerSpeed Armature For Makita 3501 N,0,1,2,2,1,2,0.0%,100.0%,armature - product_category | category,armature - type of power tool |||| powerspeed - brand,,armature,category | product category,brand | type of power tool
PowerSpeed Armature For Makita 9500 NB,0,1,2,2,1,2,0.0%,100.0%,armature - product_category | category,armature - type of power tool |||| powerspeed - brand,,armature,category | product category,brand | type of power tool
PowerSpeed Armature for Gsh-500 Bosch,1,1,5,3,2,3,20.0%,50.0%,bosch - brand | manufacturer | company |||| armature - product_category | category,armature - type of power tool |||| gsh-500 - model number |||| powerspeed - brand,brand,armature,category | company | manufacturer | product category,model number | type of power tool
Printer Solenoid Switch,0,0,4,2,3,2,0.0%,0.0%,printing - application | use |||| solenoid - application | use |||| solenoid - product_category | category |||| switch - product_category | category,printer - usage |||| solenoid switch - part type,,,application | category | product category | use,part type | usage
R. S. Series Geared Motors,0,0,2,1,1,1,0.0%,0.0%,gear motor - motor_type | product_type,r. s. series - series,,,motor type | product type,series
RC Car Brushless ESC Platinum Edition 120A,0,0,4,0,3,0,0.0%,0.0%,rc car - application | use |||| automotive - application | use |||| esc - product_category | category,,,,application | category | product category | use,
RPG15Q Motor,0,1,5,2,2,2,0.0%,50.0%,rpg - brand | manufacturer | company |||| motor - motor_type | product_type,motor - part type |||| rpg15q - model name/number,,motor,brand | company | manufacturer | motor type | product type,model name/number | part type
Rawat+Induction+Motors,0,0,2,0,1,0,0.0%,0.0%,induction motor - motor_type | product_type,,,,motor type | product type,
Refrigerator Motor,0,1,2,2,1,2,0.0%,100.0%,motor - motor_type | product_type,motor - part type |||| refrigerator - usage,,motor,motor type | product type,part type | usage
Remi Centrifuge Carbon Brush,1,1,7,2,3,2,14.3%,33.3%,remi - brand | manufacturer | company |||| automotive - application | use |||| brush - product_category | category,carbon brush - type |||| remi - brand,brand,remi,application | category | company | manufacturer | product category | use,type
Remi Centrifuge Carbon Brushes,1,1,7,2,3,2,14.3%,33.3%,remi - brand | manufacturer | company |||| automotive - application | use |||| brush - product_category | category,carbon brushes - product |||| remi - brand,brand,remi,application | category | company | manufacturer | product category | use,product
Remi Geared Motor,1,1,5,1,2,1,20.0%,50.0%,remi - brand | manufacturer | company |||| gear motor - motor_type | product_type,remi - brand,brand,remi,company | manufacturer | motor type | product type,
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,2,0,9,4,4,4,22.2%,0.0%,gear motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| 30 rpm - speed | rpm | rated_speed |||| dc - current_type | supply_type,12v dc - voltage |||| 30rpm - speed |||| ig32 - model name/number |||| rhino - brand,speed | voltage,,current type | motor type | product type | rated speed | rpm | supply type | supply voltage,brand | model name/number
Rhino+12V+DC+30RPM+70Kgcm+IG32+Heavy+Duty+Planetary+Geared+Motor,0,0,9,0,4,0,0.0%,0.0%,gear motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| 30 rpm - speed | rpm | rated_speed |||| dc - current_type | supply_type,,,,current type | motor type | product type | rated speed | rpm | speed | supply type | supply voltage | voltage,
Rolling Shutter Motor,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,rolling shutter - usage,,,motor type | product type,usage
Rotomotive Induction Motor 3 Phase,2,1,7,3,3,3,28.6%,33.3%,rotomotive - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| three phase - phase | supply_phase,3 phase - no of phase |||| induction - motor type |||| rotomotive - brand,brand | motor type,rotomotive,company | manufacturer | phase | product type | supply phase,no of phase
Rotork Yt 3300 Smart Positioner,0,0,4,3,1,3,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,rotork - brand |||| smart positioner - type |||| yt 3300 - model name/number,,,application | category | product category | use,brand | model name/number | type
SIEMENS 1FL6064-1AC61-2LA1 SIMOTICS S-1FL6-1FL6 Operating voltage 3AC 400 V,1,2,8,3,4,3,12.5%,50.0%,siemens - brand | manufacturer | company |||| 400v - voltage | supply_voltage |||| 3v - voltage | supply_voltage |||| 1FL6064-1AC61-2LA1 - model_number | part_number | model,1fl6064-1ac61-2la1 - model name/number |||| 400 v - input voltage |||| siemens - brand,brand,1fl6064-1ac61-2la1 | siemens,company | manufacturer | model | model number | part number | supply voltage | voltage,input voltage | model name/number
SIEMENS 1LE7501‑1BB23‑5AA4,1,1,6,2,2,2,16.7%,50.0%,siemens - brand | manufacturer | company |||| 1LE7501 - model_number | part_number | model,1le7501‑1bb23‑5aa4 - model name/number |||| siemens - brand,brand,siemens,company | manufacturer | model | model number | part number,model name/number
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-5AF00-1SB0 0.75 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.75 kw - power | kilowatt | wattage |||| 1FK2104-5AF00-1SB0 - model_number | part_number | model,0.75 kw - power |||| 1fk2104-5af00-1sb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.75 kw | 1fk2104-5af00-1sb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,1,3,8,3,3,3,12.5%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF01-1MB0 - model_number | part_number | model,1fk2104-6af01-1mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand,1fk2104-6af01-1mb0 | servo motor | siemens,company | manufacturer | model | model number | motor type | part number | product type,model name/number | usage
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF01-1MB0 - model_number | part_number | model,1 kw - power |||| 1fk2104-6af01-1mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,1 kw | 1fk2104-6af01-1mb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF11-0MB0,1,3,8,3,3,3,12.5%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF11-0MB0 - model_number | part_number | model,1fk2104-6af11-0mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand,1fk2104-6af11-0mb0 | servo motor | siemens,company | manufacturer | model | model number | motor type | part number | product type,model name/number | usage
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF11-0MB0 1 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF11-0MB0 - model_number | part_number | model,1 kw - power |||| 1fk2104-6af11-0mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,1 kw | 1fk2104-6af11-0mb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 1FK2106-4AF11-1SA0  servo motor 2.7 kW,2,3,11,4,4,4,18.2%,75.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF11-1SA0 - model_number | part_number | model,2.7 kw - power |||| servo motor - usage |||| siemens - brand |||| simotics s-1fk2 1fk2106-4af11-1sa0 - model name/number,brand | power,2.7 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO  MOTOR 1FK2106-4AF00-0MA0 2.7 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF00-0MA0 - model_number | part_number | model,1fk2106-4af00-0ma0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2106-4af00-0ma0 | 2.7 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-3AF11-1SA0 2.3 kW,1,2,11,2,4,2,9.1%,50.0%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2.3 kw - power | kilowatt | wattage |||| 1FK2106-3AF11-1SA0 - model_number | part_number | model,2.3 kw - output power |||| siemens - brand,brand,2.3 kw | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,output power
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF00-1MA0 2.7 kW,1,2,11,3,4,3,9.1%,50.0%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF00-1MA0 - model_number | part_number | model,2.7 kw - output power |||| s-1fk2 - model name/number |||| siemens - brand,brand,2.7 kw | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,model name/number | output power
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF10-0SA0 2.7 kW,1,2,11,2,4,2,9.1%,50.0%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF10-0SA0 - model_number | part_number | model,2.7 kw - output power |||| siemens - brand,brand,2.7 kw | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,output power
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR  1FK2106-4AF01-1SA0 2.7 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF01-1SA0 - model_number | part_number | model,1fk2106-4af01-1sa0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2106-4af01-1sa0 | 2.7 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0MB0 0.06 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.06 kw - power | kilowatt | wattage |||| 1FK2104-4AK01-0MB0 - model_number | part_number | model,0.06 kw - power |||| 1fk2104-4ak01-0mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.06 kw | 1fk2104-4ak01-0mb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0SB0 0.06 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.06 kw - power | kilowatt | wattage |||| 1FK2104-4AK01-0SB0 - model_number | part_number | model,0.06 kw - power |||| 1fk2104-4ak01-0sb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.06 kw | 1fk2104-4ak01-0sb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-5AK00-0SB0 0.12 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.12 kw - power | kilowatt | wattage |||| 1FK2104-5AK00-0SB0 - model_number | part_number | model,0.12 kw - power |||| 1fk2104-5ak00-0sb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.12 kw | 1fk2104-5ak00-0sb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,1,3,8,3,3,3,12.5%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF01-1SB0 - model_number | part_number | model,1fk2104-6af01-1sb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand,1fk2104-6af01-1sb0 | servo motor | siemens,company | manufacturer | model | model number | motor type | part number | product type,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0 1 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF01-1SB0 - model_number | part_number | model,1 kw - power |||| 1fk2104-6af01-1sb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,1 kw | 1fk2104-6af01-1sb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0,1,3,8,3,3,3,12.5%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF10-0MB0 - model_number | part_number | model,1fk2104-6af10-0mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand,1fk2104-6af10-0mb0 | servo motor | siemens,company | manufacturer | model | model number | motor type | part number | product type,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF10-0MB0 - model_number | part_number | model,1 kw - power |||| 1fk2104-6af10-0mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,1 kw | 1fk2104-6af10-0mb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0,1,3,8,3,3,3,12.5%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF10-0SB0 - model_number | part_number | model,1fk2104-6af10-0sb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand,1fk2104-6af10-0sb0 | servo motor | siemens,company | manufacturer | model | model number | motor type | part number | product type,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0 1 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF10-0SB0 - model_number | part_number | model,1 kw - power |||| 1fk2104-6af10-0sb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,1 kw | 1fk2104-6af10-0sb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0,1,3,8,3,3,3,12.5%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF10-1MB0 - model_number | part_number | model,1fk2104-6af10-1mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand,1fk2104-6af10-1mb0 | servo motor | siemens,company | manufacturer | model | model number | motor type | part number | product type,model name/number | usage
