pc_item_name,glcat_mcat_id,glcat_mcat_name
"Bharat Bijlee 3 Phase 2 HP 4 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L47300000",2415,Three Phase Motor
"Bharat Bijlee 3 Phase 2 HP 4 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L47300000",2415,Three Phase Motor
Godrej Lawkim Single Phase 0.75 HP 4 Pole Flange Mounted Induction Motor LM200LK3338,9484,Single Phase Motors
Godrej Lawkim Single Phase 0.75 HP 4 Pole Flange Mounted Induction Motor LM200LK3338,9484,Single Phase Motors
Stater Self Armature,443618,Self Armature
Stepper Motor Digital Controller,13374,Stepper Motor Controller
SONEE-DX Single Phase 1 HP 4 Pole Foot Mounted Electric Motor SDX01,9484,Single Phase Motors
50 HP Crompton Greaves Motor,126348,Crompton Greaves Motor
MDMFC52L1G6M - Panasonic A6 15000W Motor,187161,Panasonic AC Servo Motor
MDMFC52L1G6M - Panasonic A6 15000W Motor,187161,Panasonic AC Servo Motor
Soft gripping Quadruple Plate with Fingers,3148,Actuators
"Abb Ms165 Series 23-32 Amp 30 Hp Three Phase Manual Motor Starter, Ms165-32",33567,Motor Starter
"Makita 18 V Armature For Btw450, Part No 519199-5",25,Armature
"Makita 18 V Armature For Btw450, Part No 519199-5",25,Armature
MSMD012G1V Panasonic AC Servo Motor,187161,Panasonic AC Servo Motor
"Invento 1000KV BLDC Brushless Motor , ISC 1949-2A (pack of 2)",15240,Brushless DC Motor
"Invento 1000KV BLDC Brushless Motor , ISC 1949-2A (pack of 2)",15240,Brushless DC Motor
"Invento 1400KV BLDC Brushless Motor , ISC 1949-4B1 (pack of 2)",15240,Brushless DC Motor
Epoxy Resin Slip Rings Assembly,141589,Slip Ring Assemblies
"Invento 2000KV BLDC Brushless Motor , ISC 1948-6A (pack of 2)",15240,Brushless DC Motor
"Invento 2000KV BLDC Brushless Motor , ISC 1948-6A (pack of 2)",15240,Brushless DC Motor
"Invento 2000KV BLDC Brushless Motor , ISC 1948-6A (pack of 2)",15240,Brushless DC Motor
Schneider Soft Starter ATS01N206QN,220183,Schneider Soft Starters
"Makita Fan Motor Unit Assembly Suitable For Drc200, Part No Sh00000161",28231,Fan Motor
"Makita Armature Suitable For Dhr165, Part No 619334-6",25,Armature
"Makita 220-240 V Armature For 4131, Part No 513578-9",25,Armature
"Makita 220-240 V Armature For 4131, Part No 513578-9",25,Armature
"Makita 115 V Armature Assembly, Part No 517971-9",25,Armature
"Makita Armature Suitable For Fl082fd, Part No 619316-8",25,Armature
"Makita Armature Suitable For Fl082fd, Part No 619316-8",25,Armature
INNOMOTICS Moves IE3 7.5 hp 4 Pole B5 Three Phase Motor,52930,Three Phase Electric Motor
RS2205 2300KV Brushless DC Motor for QAV250 QAV300 Racing Drone. Black Cap (CW Motor Rotation),23616,Brushless Motors
"Bharat Bijlee 3 Phase 1.5 HP 6 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L65300000",2415,Three Phase Motor
"Bharat Bijlee 3 Phase 1.5 HP 6 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L65300000",2415,Three Phase Motor
"Bharat Bijlee 3 Phase 1.5 HP 6 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L65300000",2415,Three Phase Motor
"Bharat Bijlee 3 Phase 1.5 HP 6 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L65300000",2415,Three Phase Motor
"Bharat Bijlee 3 Phase 1.5 HP 6 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L65300000",2415,Three Phase Motor
Mitsubishi Make HGSR421J Servo Motor,184101,Mitsubishi Servo Motors
"Klockner Pkzm1-2,4 Circuit Breaker Motor Starter 1,6-2,4a",33567,Motor Starter
2 Hp 12V DC Motor,445,DC Motor
"Bharat Bijlee Three Phase 5 HP 2 Pole Foot Mounted IE2 Induction Motor, 2H10L233AT000",2415,Three Phase Motor
"Havells Three Phase 20 HP Foot Mounted IE2 Fire Fighting Motor, MHFF160MZA2",2415,Three Phase Motor
"Havells Three Phase 20 HP Foot Mounted IE2 Fire Fighting Motor, MHFF160MZA2",2415,Three Phase Motor
"Havells Three Phase 20 HP Foot Mounted IE2 Fire Fighting Motor, MHFF160MZA2",2415,Three Phase Motor
"Silver Three Phase 2 HP 8 Pole Flange Mount Induction Motor, IM2CI2.008P3B5F",2415,Three Phase Motor
"Havells Three Phase 2 Hp 8 Pole Foot Mounted Ie2 Squirrel Cage Induction Motor, Mhee112maa8",2415,Three Phase Motor
"Havells Three Phase 2 Hp 8 Pole Foot Mounted Ie2 Squirrel Cage Induction Motor, Mhee112maa8",2415,Three Phase Motor
"Havells Three Phase 2 Hp 8 Pole Foot Mounted Ie2 Squirrel Cage Induction Motor, Mhee112maa8",2415,Three Phase Motor
"Havells Three Phase 5 Hp 8 Pole Foot Mounted Ie2 Squirrel Cage Induction Motor, Mhee160mza8",2415,Three Phase Motor
"Havells Three Phase 5 Hp 8 Pole Foot Mounted Ie2 Squirrel Cage Induction Motor, Mhee160mza8",2415,Three Phase Motor
"Havells Three Phase 5 Hp 8 Pole Foot Mounted Ie2 Squirrel Cage Induction Motor, Mhee160mza8",2415,Three Phase Motor
"Havells Three Phase 5 Hp 8 Pole Foot Mounted Ie2 Squirrel Cage Induction Motor, Mhee160mza8",2415,Three Phase Motor
"Havells Three Phase 4 Hp 4 Pole Foot Mounted Ie3 Squirrel Cage Induction Motor, Mhpe100lba4",2415,Three Phase Motor
"Havells Three Phase 4 Hp 4 Pole Foot Mounted Ie3 Squirrel Cage Induction Motor, Mhpe100lba4",2415,Three Phase Motor
"Havells Three Phase 4 Hp 4 Pole Foot Mounted Ie3 Squirrel Cage Induction Motor, Mhpe100lba4",2415,Three Phase Motor
"Havells Three Phase 15 Hp Foot Mounted Ie3 Induction Motor, Mhpe160mza4",177266,Foot Mounted Motor
"Havells Three Phase 15 Hp Foot Mounted Ie3 Induction Motor, Mhpe160mza4",177266,Foot Mounted Motor
"Havells Three Phase 15 Hp Foot Mounted Ie3 Induction Motor, Mhpe160mza4",177266,Foot Mounted Motor
"Havells Three Phase 15 Hp Foot Mounted Ie3 Induction Motor, Mhpe160mza4",177266,Foot Mounted Motor
"Havells Three Phase 15 Hp Foot Mounted Ie3 Induction Motor, Mhpe160mza4",177266,Foot Mounted Motor
Johnson DC Geared Motor,25556,DC Geared Motor
"Makita 240 V Armature For Hr2610, Part No 515359-7",25,Armature
"Makita 240 V Armature For Hr2610, Part No 515359-7",25,Armature
"Makita 240 V Armature For 5740nb, Part No 516274-8",25,Armature
"Makita 240 V Armature For 5740nb, Part No 516274-8",25,Armature
B&R 8MSA4M.E1-31 SYNCHRONOUS SERVO MOTOR,448,Servo Motor
CG Power Three Phase 2 HP 6 Pole Foot Mounted IE4 Cast Iron Body Induction Motor,2415,Three Phase Motor
CG Power Three Phase 2 HP 6 Pole Foot Mounted IE4 Cast Iron Body Induction Motor,2415,Three Phase Motor
CG Power Three Phase 2 HP 6 Pole Foot Mounted IE4 Cast Iron Body Induction Motor,2415,Three Phase Motor
CG Power Three Phase 2 HP 6 Pole Foot Mounted IE4 Cast Iron Body Induction Motor,2415,Three Phase Motor
"Havells Single Phase 1 HP 4 Pole Foot Mounted Induction Motor, F4107",9484,Single Phase Motors
TOYO Servo Cylinder CSF Series,37975,Servo Actuators
"Bharat Bijlee Three Phase 0.16 HP 4 Pole Foot Mounted IE2 Induction Motor, 2H063413AT000",2415,Three Phase Motor
Single Phase Motor Starter Control Panel,226793,Single Phase Motor Starter
Single Phase Motor Starter Control Panel,226793,Single Phase Motor Starter
"Abb Ms165 Series 18-25 Amp 20 Hp Three Phase Manual Motor Starter, Ms165-25",33567,Motor Starter
"Abb Ms165 Series 18-25 Amp 20 Hp Three Phase Manual Motor Starter, Ms165-25",33567,Motor Starter
"Abb Ms165 Series 18-25 Amp 20 Hp Three Phase Manual Motor Starter, Ms165-25",33567,Motor Starter
Abb Three Phase 7.5 Hp 4 Pole Flange Mounted Squirrel Cage Induction Motor M2bax132sa4 Ie2,2415,Three Phase Motor
Abb Three Phase 7.5 Hp 4 Pole Flange Mounted Squirrel Cage Induction Motor M2bax132sa4 Ie2,2415,Three Phase Motor
Abb Three Phase 7.5 Hp 4 Pole Flange Mounted Squirrel Cage Induction Motor M2bax132sa4 Ie2,2415,Three Phase Motor
Innomotics Moves IE2 1.5 hp 6 pole Three Phase Motor,52930,Three Phase Electric Motor
10 Inch Cast Iron Motor Back Cover,222285,Cast Iron Motor Cover
Innomotics Moves IE4 270 hp 4 Pole Three Phase Motor,52930,Three Phase Electric Motor
Automatic Sliding Gate Motor,52905,Electric Sliding Gate Motor
5010 360KV High Torque Brushless Motor for Drone,23616,Brushless Motors
Stater Self Armature,443618,Self Armature
Carbon Brush Holder,55772,Carbon Brush Holder
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
5010 360KV High Torque Brushless Motor for Drone,23616,Brushless Motors
5010 360KV High Torque Brushless Motor for Drone,23616,Brushless Motors
2-Axis Brushless Gimbal,23616,Brushless Motors
2-Axis Brushless Gimbal,23616,Brushless Motors
2-Axis Brushless Gimbal,23616,Brushless Motors
"Abb Ms165 Series 23-32 Amp 30 Hp Three Phase Manual Motor Starter, Ms165-32",33567,Motor Starter
"Abb Ms165 Series 23-32 Amp 30 Hp Three Phase Manual Motor Starter, Ms165-32",33567,Motor Starter
"Abb Ms165 Series 23-32 Amp 30 Hp Three Phase Manual Motor Starter, Ms165-32",33567,Motor Starter
INNOMOTICS Moves IE3 100 Hp 8 Pole B5 Three Phase Motor,52930,Three Phase Electric Motor
"Bharat Bijlee 3 Phase 2 HP 4 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L47300000",2415,Three Phase Motor
"Bharat Bijlee 3 Phase 2 HP 4 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L47300000",2415,Three Phase Motor
Godrej Lawkim Single Phase 0.75 HP 4 Pole Flange Mounted Induction Motor LM200LK3338,9484,Single Phase Motors
SONEE-DX Single Phase 1 HP 4 Pole Foot Mounted Electric Motor SDX01,9484,Single Phase Motors
Innomotics Moves IE4 10 hp 2 Pole Three Phase Motor,52930,Three Phase Electric Motor
"2 KW Siemens 1FK7080-2AF71-1AB0 AC Servo Motor, 600V",184102,Siemens Servo Motors
Low Voltage 3 Phase TEFC Squirrel Cage Induction Motor,38675,Squirrel Cage Motors
MSMD012G1V Panasonic AC Servo Motor,187161,Panasonic AC Servo Motor
Car A C Actuator,27216,Electric Actuator
CG Power Single Phase 0.50 HP 2 Pole Foot Mounted Induction Motor GF6828,9484,Single Phase Motors
Godrej Lawkim Single Phase 0.75 HP 4 Pole Flange Mounted Induction Motor LM200LK3338,9484,Single Phase Motors
SONEE-DX Single Phase 1 HP 4 Pole Foot Mounted Electric Motor SDX01,9484,Single Phase Motors
"Makita 18 V Armature For Btw450, Part No 519199-5",25,Armature
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Pacific  P144 25A Single Phase Motor Starter,226793,Single Phase Motor Starter
Electro Pneumatic Rotary Valve Positioner,147007,Electro Pneumatic Valve Positioner
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Pacific  P144 25A Single Phase Motor Starter,226793,Single Phase Motor Starter
Pacific  P144 25A Single Phase Motor Starter,226793,Single Phase Motor Starter
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Pacific  P144 25A Single Phase Motor Starter,226793,Single Phase Motor Starter
Pacific  P144 25A Single Phase Motor Starter,226793,Single Phase Motor Starter
Electro Pneumatic Rotary Valve Positioner,147007,Electro Pneumatic Valve Positioner
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Electro Pneumatic Rotary Valve Positioner,147007,Electro Pneumatic Valve Positioner
Electro Pneumatic Rotary Valve Positioner,147007,Electro Pneumatic Valve Positioner
Crompton Motor Squirrel Cage Motor (IE3) 5.5 KW,38675,Squirrel Cage Motors
Electro Pneumatic Rotary Valve Positioner,147007,Electro Pneumatic Valve Positioner
Siemens Soft Starter 3RW5517-1HA14,220184,Siemens Soft Starters
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
Panasonic A5 Servo Break Motor MHMD022G1V,187161,Panasonic AC Servo Motor
"Bharat Bijlee 3 Phase 2 HP 4 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L47300000",2415,Three Phase Motor
"Bharat Bijlee 3 Phase 2 HP 4 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L47300000",2415,Three Phase Motor
Godrej Lawkim Single Phase 0.75 HP 4 Pole Flange Mounted Induction Motor LM200LK3338,9484,Single Phase Motors
Godrej Lawkim Single Phase 0.75 HP 4 Pole Flange Mounted Induction Motor LM200LK3338,9484,Single Phase Motors
Godrej Lawkim Single Phase 0.75 HP 4 Pole Flange Mounted Induction Motor LM200LK3338,9484,Single Phase Motors
SONEE-DX Single Phase 1 HP 4 Pole Foot Mounted Electric Motor SDX01,9484,Single Phase Motors
Hindustan Electric Motor 10 HP 7.50Kw 4 Pole 1500 RPM B3 Foot MTD 415VV 50Hz Frame 132M- IE2 Motor,203386,Hindustan AC Motor
Hindustan 2H4B5IE2 - 2HP 1.5KW 4 Pole 1500 RPM B5 FLANGE MOUNTING 415VV 50HZ FrameAME 90L IE2 MOTOR,203386,Hindustan AC Motor
Panasonic A5 Servo Break Motor MHMD022G1V,187161,Panasonic AC Servo Motor
"Invento 1400KV BLDC Brushless Motor , ISC 1949-4B1 (pack of 2)",15240,Brushless DC Motor
"Invento 2000KV BLDC Brushless Motor , ISC 1948-6A (pack of 2)",15240,Brushless DC Motor
WAM Three Phase Bin Vibrator Motor,2743,Vibration Motor
Fisher 39a4774x012 Diaphragm,12791,Diaphragm Actuators
Dol Starter,33567,Motor Starter
TIMOTION TA1-2Y-100288-AA1220-11215-MT (TA1-2302-040),3148,Actuators
Slip Ring And Carbon Brush Holder,55772,Carbon Brush Holder
Three Phase Induction Motor,52915,Industrial Motors
Three Phase Induction Motor,52915,Industrial Motors
Three Phase Induction Motor,52915,Industrial Motors
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
"Bharat Bijlee 3 Phase 2 HP 4 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L47300000",2415,Three Phase Motor
"Invento 2000KV BLDC Brushless Motor , ISC 1948-6A (pack of 2)",15240,Brushless DC Motor
M91X40GK4GGA Panasonic,193206,Panasonic Geared Motor
Siemens Soft Starter 3RW5517-1HA14,220184,Siemens Soft Starters
Siemens Soft Starter 3RW5517-1HA14,220184,Siemens Soft Starters
MSMD012G1V Panasonic AC Servo Motor,187161,Panasonic AC Servo Motor
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
Abb Three Phase 20 Hp 2 Pole Flange Mounted Squirrel Cage Induction Motor M2bax160mlb2 Ie3,38675,Squirrel Cage Motors
CG Power Single Phase 0.50 HP 2 Pole Foot Mounted Induction Motor GF6828,9484,Single Phase Motors
CG Power Single Phase 0.50 HP 2 Pole Foot Mounted Induction Motor GF6828,9484,Single Phase Motors
CG Power Single Phase 0.50 HP 2 Pole Foot Mounted Induction Motor GF6828,9484,Single Phase Motors
CG Power Single Phase 0.50 HP 2 Pole Foot Mounted Induction Motor GF6828,9484,Single Phase Motors
"Invento 1000KV BLDC Brushless Motor , ISC 1949-2A (pack of 2)",15240,Brushless DC Motor
"Invento 1000KV BLDC Brushless Motor , ISC 1949-2A (pack of 2)",15240,Brushless DC Motor
"Invento 1400KV BLDC Brushless Motor , ISC 1949-4B1 (pack of 2)",15240,Brushless DC Motor
"Invento 1400KV BLDC Brushless Motor , ISC 1949-4B1 (pack of 2)",15240,Brushless DC Motor
"Invento 1400KV BLDC Brushless Motor , ISC 1949-4B1 (pack of 2)",15240,Brushless DC Motor
"Invento 2000KV BLDC Brushless Motor , ISC 1948-6A (pack of 2)",15240,Brushless DC Motor
"Invento 2000KV BLDC Brushless Motor , ISC 1948-6A (pack of 2)",15240,Brushless DC Motor
"Invento 2500KV BLDC Brushless Motor , ISC 1579-1",15240,Brushless DC Motor
"Invento 2500KV BLDC Brushless Motor , ISC 1579-1",15240,Brushless DC Motor
"Invento 2500KV BLDC Brushless Motor , ISC 1579-1",15240,Brushless DC Motor
10 Inch Cast Iron Motor Back Cover,222285,Cast Iron Motor Cover
"Bharat Bijlee 3 Phase 2 HP 4 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L47300000",2415,Three Phase Motor
Fenner Vibro Motor,2743,Vibration Motor
Fenner Vibro Motor,2743,Vibration Motor
Stepper Motor Digital Controller,13374,Stepper Motor Controller
SONEE-DX Single Phase 1 HP 4 Pole Foot Mounted Electric Motor SDX01,9484,Single Phase Motors
SONEE-DX Single Phase 1 HP 4 Pole Foot Mounted Electric Motor SDX01,9484,Single Phase Motors
WAM Three Phase Bin Vibrator Motor,2743,Vibration Motor
Panasonic A5 Servo Break Motor MHMD022G1V,187161,Panasonic AC Servo Motor
Panasonic A5 Servo Break Motor MHMD022G1V,187161,Panasonic AC Servo Motor
2-Axis Brushless Gimbal,23616,Brushless Motors
"Invento 1400KV BLDC Brushless Motor , ISC 1949-4B1 (pack of 2)",15240,Brushless DC Motor
"Invento 1400KV BLDC Brushless Motor , ISC 1949-4B1 (pack of 2)",15240,Brushless DC Motor
"Invento 1400KV BLDC Brushless Motor , ISC 1949-4B1 (pack of 2)",15240,Brushless DC Motor
"Invento 2500KV BLDC Brushless Motor , ISC 1579-1",15240,Brushless DC Motor
"Invento 2500KV BLDC Brushless Motor , ISC 1579-1",15240,Brushless DC Motor
Rotomotive Custom Built Motor,29373,Gear Motor
WAM Three Phase Bin Vibrator Motor,2743,Vibration Motor
WAM Three Phase Bin Vibrator Motor,2743,Vibration Motor
Fisher 39a4774x012 Diaphragm,12791,Diaphragm Actuators
Fisher 39a4774x012 Diaphragm,12791,Diaphragm Actuators
Abb Three Phase 7.5 Hp 4 Pole Flange Mounted Squirrel Cage Induction Motor M2bax132sa4 Ie2,2415,Three Phase Motor
Abb Three Phase 7.5 Hp 4 Pole Flange Mounted Squirrel Cage Induction Motor M2bax132sa4 Ie2,2415,Three Phase Motor
Abb Three Phase 7.5 Hp 4 Pole Flange Mounted Squirrel Cage Induction Motor M2bax132sa4 Ie2,2415,Three Phase Motor
Schneider Soft Starter ATS01N206QN,220183,Schneider Soft Starters
A Series Helical Bevel Gear Motors,43308,Helical Geared Motor
90 Watt Single Phase FHP Motor,446,FHP Motor
Bharat Bijlee 75KW- 100HP- 6Pole- IE3- STD Type- 315S Frame- CI Body- B35 MTD- TB Position TOP Motor,203388,Bharat Bijlee AC Motor
25 Watt Gear Motor,150167,Three Phase Gear Motor
"Bharat Bijlee 3 Phase 1.5 HP 6 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L65300000",2415,Three Phase Motor
"Makita 115 V Armature Assembly, Part No 517971-9",25,Armature
"Makita Armature Suitable For Btw110, Part No 619251-0",25,Armature
"Makita Armature Suitable For Fl082fd, Part No 619316-8",25,Armature
"Bharat Bijlee 3 Phase 1.5 HP 6 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L65300000",2415,Three Phase Motor
TOYO Servo Cylinder CSF Series,37975,Servo Actuators
ikon motor starter 2/3 phase with mobile control,33567,Motor Starter
RTX1000 Electro Pneumatic Positioner,147007,Electro Pneumatic Valve Positioner
Brush Holder for Carona Roll,55772,Carbon Brush Holder
Brush Holder for Carona Roll,55772,Carbon Brush Holder
Brush Holder for Carona Roll,55772,Carbon Brush Holder
Electrical Motor,52930,Three Phase Electric Motor
Electrical Motor,52930,Three Phase Electric Motor
8VM Air Motor,21680,Air Motors
RTX1000 Electro Pneumatic Positioner,147007,Electro Pneumatic Valve Positioner
Brush Holder for Carona Roll,55772,Carbon Brush Holder
8VM Air Motor,21680,Air Motors
Brush Holder for Carona Roll,55772,Carbon Brush Holder
RTX1000 Electro Pneumatic Positioner,147007,Electro Pneumatic Valve Positioner
RTX1000 Electro Pneumatic Positioner,147007,Electro Pneumatic Valve Positioner
8VM Air Motor,21680,Air Motors
RTX1000 Electro Pneumatic Positioner,147007,Electro Pneumatic Valve Positioner
RTX1000 Electro Pneumatic Positioner,147007,Electro Pneumatic Valve Positioner
RTX1000 Electro Pneumatic Positioner,147007,Electro Pneumatic Valve Positioner
8VM Air Motor,21680,Air Motors
RTX1000 Electro Pneumatic Positioner,147007,Electro Pneumatic Valve Positioner
8VM Air Motor,21680,Air Motors
"Bharat Bijlee 3 Phase 1.5 HP 6 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L65300000",2415,Three Phase Motor
"Bharat Bijlee 3 Phase 1.5 HP 6 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L65300000",2415,Three Phase Motor
"Bharat Bijlee Three Phase 0.16 HP 4 Pole Foot Mounted IE2 Induction Motor, 2H063413AT000",2415,Three Phase Motor
Invento ISC 1197 1400KV BLDC Motor with 40A Electronic Speed Controller,15240,Brushless DC Motor
"Silver Single Phase 3 HP 4 Pole Flange Mount Induction Motor, IM0CI3.004P1B5F",9484,Single Phase Motors
MITSUBISHI HC-KFS43 SERVO MOTOR,184101,Mitsubishi Servo Motors
MITSUBISHI HC-KFS43 SERVO MOTOR,184101,Mitsubishi Servo Motors
"Havells Single Phase 1 HP 4 Pole Foot Mounted Induction Motor, F4107",9484,Single Phase Motors
MITSUBISHI HF453S SERVO MOTOR,184101,Mitsubishi Servo Motors
Bharat Bijlee 75KW- 100HP- 6Pole- IE3- STD Type- 315S Frame- CI Body- B35 MTD- TB Position TOP Motor,203388,Bharat Bijlee AC Motor
CG Power Three Phase 2 HP 6 Pole Foot Mounted IE4 Cast Iron Body Induction Motor,2415,Three Phase Motor
CG Power Three Phase 2 HP 6 Pole Foot Mounted IE4 Cast Iron Body Induction Motor,2415,Three Phase Motor
Hindustan 3HP 2.2KW 4POLE 1500RPM B5 FLANGE Mounting 415VV 50HZ 100L IE2 FLP MOTOR,203386,Hindustan AC Motor
"Silver Single Phase 3 HP 4 Pole Flange Mount Induction Motor, IM0CI3.004P1B5F",9484,Single Phase Motors
"Silver Single Phase 3 HP 4 Pole Flange Mount Induction Motor, IM0CI3.004P1B5F",9484,Single Phase Motors
"Silver Single Phase 3 HP 4 Pole Flange Mount Induction Motor, IM0CI3.004P1B5F",9484,Single Phase Motors
"Silver Single Phase 3 HP 4 Pole Flange Mount Induction Motor, IM0CI3.004P1B5F",9484,Single Phase Motors
"Havells Single Phase 1 HP 4 Pole Foot Mounted Induction Motor, F4107",9484,Single Phase Motors
"Havells Single Phase 1 HP 4 Pole Foot Mounted Induction Motor, F4107",9484,Single Phase Motors
"Bharat Bijlee Three Phase 0.16 HP 4 Pole Foot Mounted IE2 Induction Motor, 2H063413AT000",2415,Three Phase Motor
"Bharat Bijlee Three Phase 0.16 HP 4 Pole Foot Mounted IE2 Induction Motor, 2H063413AT000",2415,Three Phase Motor
"Bharat Bijlee Three Phase 5 HP 2 Pole Foot Mounted IE2 Induction Motor, 2H10L233AT000",2415,Three Phase Motor
"Bharat Bijlee Three Phase 5 HP 2 Pole Foot Mounted IE2 Induction Motor, 2H10L233AT000",2415,Three Phase Motor
MITSUBISHI HC-KFS43 SERVO MOTOR,184101,Mitsubishi Servo Motors
"Silver Three Phase 2 HP 8 Pole Flange Mount Induction Motor, IM2CI2.008P3B5F",2415,Three Phase Motor
"Silver Three Phase 2 HP 8 Pole Flange Mount Induction Motor, IM2CI2.008P3B5F",2415,Three Phase Motor
"Bharat Bijlee 3 Phase 1.5 HP 6 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L65300000",2415,Three Phase Motor
"Bharat Bijlee 3 Phase 1.5 HP 6 Pole Foot Mounted IE2 General Purpose Induction Motor, 2J09L65300000",2415,Three Phase Motor
"Bharat Bijlee Three Phase 5 HP 2 Pole Foot Mounted IE2 Induction Motor, 2H10L233AT000",2415,Three Phase Motor
"Bharat Bijlee Three Phase 5 HP 2 Pole Foot Mounted IE2 Induction Motor, 2H10L233AT000",2415,Three Phase Motor
"Bharat Bijlee Three Phase 5 HP 2 Pole Foot Mounted IE2 Induction Motor, 2H10L233AT000",2415,Three Phase Motor
"Bharat Bijlee Three Phase 5 HP 2 Pole Foot Mounted IE2 Induction Motor, 2H10L233AT000",2415,Three Phase Motor
"Abb Ms165 Series 18-25 Amp 20 Hp Three Phase Manual Motor Starter, Ms165-25",33567,Motor Starter
"Abb Ms165 Series 18-25 Amp 20 Hp Three Phase Manual Motor Starter, Ms165-25",33567,Motor Starter
"Abb Ms165 Series 18-25 Amp 20 Hp Three Phase Manual Motor Starter, Ms165-25",33567,Motor Starter
"Havells Three Phase 20 HP Foot Mounted IE2 Fire Fighting Motor, MHFF160MZA2",2415,Three Phase Motor
"Havells Three Phase 20 HP Foot Mounted IE2 Fire Fighting Motor, MHFF160MZA2",2415,Three Phase Motor
"Havells Three Phase 20 HP Foot Mounted IE2 Fire Fighting Motor, MHFF160MZA2",2415,Three Phase Motor
"Havells Three Phase 20 HP Foot Mounted IE2 Fire Fighting Motor, MHFF160MZA2",2415,Three Phase Motor
"Silver Three Phase 2 HP 8 Pole Flange Mount Induction Motor, IM2CI2.008P3B5F",2415,Three Phase Motor
